Iteration,Time (ms),Target Mean Absolute Deviation,Constraint Name,Short Name,Weight,Weight Type,Inequality,Rows,Mean,Mean Absolute,Median,Minimum,Maximum,L2 Norm,Energy,Standard Deviation,Root Mean Squared Error
11167660,30868,4.094207408505433,Uncertain Slip Rate,UncertSlipRate,1.0,NORMALIZED_BY_UNCERTAINTY,false,2325,-0.5213719523065121,0.8950481443944273,-0.5064074481500067,-7.6988717802709035,7.569989675837733,3440.378482241462,3440.378482241462,1.0992832756026556,1.2164426334743297
11167660,30868,4.094207408505433,Paleoseismic Event Rate,PaleoRate,1.0,NORMALIZED_BY_UNCERTAINTY,false,75,-0.9097735286509938,1.47881135282267,-1.2008703444397146,-4.154512951787326,4.344347067872985,233.4964700560314,233.4964700560314,1.522000282116656,1.764450698493373
11167660,30868,4.094207408505433,Uncertain MFD Equality,UncertMFDEquality,1.0,NORMALIZED_BY_UNCERTAINTY,false,34,9.712981686913977,9.908762728299202,-1.0,-1.6641388517744002,13.653353526245395,1797.2788293955953,1797.2788293955953,3.4772888517856755,10.282134218249334
22339819,61725,2.0792476065814163,Uncertain Slip Rate,UncertSlipRate,0.9655141208771294,NORMALIZED_BY_UNCERTAINTY,false,2325,-1.0054261817580774,1.132527686052622,-0.8497369543681333,-8.817524850060629,6.786989574508568,5140.882554651486,4792.4207734379,1.0957951147463778,1.4869876534694335
22339819,61725,2.0792476065814163,Paleoseismic Event Rate,PaleoRate,1.1605399460789008,NORMALIZED_BY_UNCERTAINTY,false,75,-1.3553077096801591,1.619979766420925,-1.5015496774507724,-4.367863218026158,2.743100106258618,255.83021736671154,344.5656871665784,1.2631245753590674,1.846908109487174
22339819,61725,2.0792476065814163,Uncertain MFD Equality,UncertMFDEquality,3.0040933236693093,NORMALIZED_BY_UNCERTAINTY,false,34,3.485235367270702,3.485235367270702,0.09522270649232212,1.1904454129846442,6.734273662136938,261.1583034757456,2356.8431398574066,1.8483369022258613,3.9194710288037715
34154547,92901,1.6425982225326041,Uncertain Slip Rate,UncertSlipRate,0.929576744310304,NORMALIZED_BY_UNCERTAINTY,false,2325,-1.2788022091191018,1.3463434196430974,-1.0147920663576022,-10.441969367234158,5.66816622990081,7293.752089046337,6302.625441406254,1.2257278572280799,1.7711853863184683
34154547,92901,1.6425982225326041,Paleoseismic Event Rate,PaleoRate,1.336340391151125,NORMALIZED_BY_UNCERTAINTY,false,75,-1.5126610821703523,1.6771719297789796,-1.5705676733574814,-4.3782506902346086,2.111770615853201,274.505876353208,490.2141424852307,1.1791838115187832,1.9131331243214902
34154547,92901,1.6425982225326041,Uncertain MFD Equality,UncertMFDEquality,5.073780592417902,NORMALIZED_BY_UNCERTAINTY,false,34,1.9042793181757356,1.9042793181757356,-0.2839861939107349,0.4320276121785303,4.155777024150104,87.77185761055976,2259.5328295468107,1.2778180216392903,2.272234681471081
46437060,124003,1.5324819335344315,Uncertain Slip Rate,UncertSlipRate,0.9129633064264753,NORMALIZED_BY_UNCERTAINTY,false,2325,-1.3466808868780276,1.3998448095062366,-1.0806247689095183,-10.820996048956449,5.51815606500638,7943.556554685784,6620.970266556149,1.2663821804603097,1.8484002446388559
46437060,124003,1.5324819335344315,Paleoseismic Event Rate,PaleoRate,1.4648597108130132,NORMALIZED_BY_UNCERTAINTY,false,75,-1.5280313014074665,1.6727392953972142,-1.5413840819126847,-4.36234299369152,1.843371197961871,272.2886189103544,584.2807229733127,1.1459248864249796,1.905391014675131
46437060,124003,1.5324819335344315,Uncertain MFD Equality,UncertMFDEquality,5.926348066102018,NORMALIZED_BY_UNCERTAINTY,false,34,1.524861695699844,1.524861695699844,-0.331387040566386,0.337225918867228,3.3685910378328305,57.53719859826898,2020.798554875054,1.060917773411738,1.8397122313057068
59574074,155163,1.4950172644547732,Uncertain Slip Rate,UncertSlipRate,0.9058779903031655,NORMALIZED_BY_UNCERTAINTY,false,2325,-1.3602015472881934,1.4104862596093606,-1.0906217070600635,-10.91574454119039,5.5541751093600125,8067.164695818368,6620.035818905781,1.272908837630203,1.8627260282354905
59574074,155163,1.4950172644547732,Paleoseismic Event Rate,PaleoRate,1.5888635554394621,NORMALIZED_BY_UNCERTAINTY,false,75,-1.4988226748218074,1.6340357052551997,-1.4363517915084458,-4.331183600612188,1.7746273491999476,261.6555781734866,660.5462096640151,1.1220780214567554,1.867817186534366
59574074,155163,1.4950172644547732,Uncertain MFD Equality,UncertMFDEquality,6.1373207613876675,NORMALIZED_BY_UNCERTAINTY,false,34,1.4405298284997596,1.4405298284997596,-0.34122797958345547,0.31754404083308907,3.190472138463705,51.37784412904897,1935.234156307303,1.00314190650833,1.7384550972740638
72458207,186274,1.4755767648218325,Uncertain Slip Rate,UncertSlipRate,0.9016893428519037,NORMALIZED_BY_UNCERTAINTY,false,2325,-1.3628657026216642,1.412322007255465,-1.0978809992124121,-10.883255956226327,5.576100293817432,8085.968953504562,6574.245881652075,1.273236209844309,1.8648957367730294
