Iteration,Time (ms),# Perturbations,# Worse Values Kept,# Non-Zero,Total Energy,Equality Energy,Entropy Energy,Inequality Energy,Normalized Slip Rate,Unnormlized Slip Rate,Rupture Rate Minimization,Normalized MFD Equality
348407905,1487267,3752528,88,214,7.3217734E8,7.3217734E8,0.0,0.0,7945065.0,2.0305816E7,0.0,7.0392646E8
355264674,1518255,3799951,88,213,7.3217581E8,7.3217581E8,0.0,0.0,7946308.0,2.0305242E7,0.0,7.0392429E8
362515240,1549207,3848037,89,215,7.3217427E8,7.3217427E8,0.0,0.0,7946640.5,2.0302932E7,0.0,7.0392474E8
369708354,1580179,3896300,90,214,7.321728E8,7.321728E8,0.0,0.0,7947868.0,2.0299342E7,0.0,7.0392563E8
375983758,1611020,3939465,91,218,7.3217152E8,7.3217152E8,0.0,0.0,7947509.5,2.0296362E7,0.0,7.0392762E8
382723357,1642017,3982722,94,215,7.321703E8,7.321703E8,0.0,0.0,7948120.5,2.0296768E7,0.0,7.0392538E8
390103241,1673018,4029775,98,214,7.3216915E8,7.3216915E8,0.0,0.0,7948620.0,2.0295442E7,0.0,7.0392506E8
396759475,1703927,4074452,101,214,7.3216806E8,7.3216806E8,0.0,0.0,7949056.0,2.0293084E7,0.0,7.0392595E8
403137315,1734927,4118069,103,214,7.3216698E8,7.3216698E8,0.0,0.0,7950534.0,2.0292638E7,0.0,7.0392384E8
409499418,1765819,4160219,108,215,7.3216602E8,7.3216602E8,0.0,0.0,7950589.0,2.0290652E7,0.0,7.039248E8
415574656,1796819,4203234,112,214,7.3216506E8,7.3216506E8,0.0,0.0,7950553.5,2.0287134E7,0.0,7.0392742E8
422791372,1827763,4252201,115,214,7.321641E8,7.321641E8,0.0,0.0,7951262.0,2.0286412E7,0.0,7.039264E8
430296129,1858743,4297964,117,214,7.3216314E8,7.3216314E8,0.0,0.0,7950496.0,2.0285706E7,0.0,7.0392691E8
437629446,1889739,4345258,119,215,7.3216218E8,7.3216218E8,0.0,0.0,7951190.0,2.0283918E7,0.0,7.0392704E8
445110071,1920743,4388330,122,214,7.3216128E8,7.3216128E8,0.0,0.0,7951938.0,2.0282468E7,0.0,7.0392691E8
451917127,1951751,4433355,125,214,7.3216051E8,7.3216051E8,0.0,0.0,7952255.0,2.0282328E7,0.0,7.0392589E8
459144518,1982775,4479615,126,217,7.3215968E8,7.3215968E8,0.0,0.0,7951853.5,2.0280474E7,0.0,7.0392736E8
466166454,2013781,4526731,128,214,7.3215885E8,7.3215885E8,0.0,0.0,7951951.5,2.0277408E7,0.0,7.0392954E8
473174158,2044795,4571917,132,215,7.3215814E8,7.3215814E8,0.0,0.0,7952418.5,2.0278418E7,0.0,7.039273E8
481157970,2075799,4615658,137,213,7.3215744E8,7.3215744E8,0.0,0.0,7954059.5,2.027754E7,0.0,7.0392589E8
488869997,2106787,4661071,140,213,7.3215686E8,7.3215686E8,0.0,0.0,7953828.5,2.0276476E7,0.0,7.0392653E8
495990647,2137739,4705118,142,214,7.3215629E8,7.3215629E8,0.0,0.0,7954168.5,2.0274484E7,0.0,7.0392768E8
503196158,2168739,4747212,146,209,7.3215578E8,7.3215578E8,0.0,0.0,7954554.0,2.0275056E7,0.0,7.0392621E8
510562018,2199719,4791421,151,209,7.3215526E8,7.3215526E8,0.0,0.0,7955502.0,2.027547E7,0.0,7.0392429E8
517373244,2230647,4834144,155,210,7.3215488E8,7.3215488E8,0.0,0.0,7955434.5,2.0274414E7,0.0,7.0392499E8
524584193,2261607,4878120,162,213,7.3215443E8,7.3215443E8,0.0,0.0,7955815.0,2.0273778E7,0.0,7.039248E8
531509698,2292540,4922279,164,209,7.3215398E8,7.3215398E8,0.0,0.0,7956637.0,2.0272728E7,0.0,7.0392461E8
539365795,2323547,4964848,167,209,7.321536E8,7.321536E8,0.0,0.0,7956587.0,2.027363E7,0.0,7.0392339E8
546218455,2354491,5008347,167,210,7.3215322E8,7.3215322E8,0.0,0.0,7956307.0,2.0272106E7,0.0,7.039248E8
553105963,2385519,5051210,170,209,7.321529E8,7.321529E8,0.0,0.0,7956599.5,2.0273054E7,0.0,7.0392326E8
559940311,2416531,5094033,172,211,7.3215258E8,7.3215258E8,0.0,0.0,7957153.5,2.0273692E7,0.0,7.0392173E8
567650403,2447495,5135762,175,208,7.3215232E8,7.3215232E8,0.0,0.0,7957343.5,2.0273694E7,0.0,7.0392128E8
574502931,2478499,5177422,177,208,7.3215206E8,7.3215206E8,0.0,0.0,7957471.5,2.0274296E7,0.0,7.0392032E8
581635611,2509483,5218719,180,209,7.3215181E8,7.3215181E8,0.0,0.0,7957231.5,2.0273134E7,0.0,7.0392147E8
588993999,2540491,5259098,183,207,7.3215162E8,7.3215162E8,0.0,0.0,7957330.5,2.0273964E7,0.0,7.0392032E8
595636036,2571403,5299316,186,209,7.3215136E8,7.3215136E8,0.0,0.0,7957709.5,2.0273656E7,0.0,7.0392E8
603587225,2602379,5340900,192,209,7.3215117E8,7.3215117E8,0.0,0.0,7957734.5,2.027376E7,0.0,7.0391968E8
610322108,2633371,5380837,195,209,7.3215098E8,7.3215098E8,0.0,0.0,7957566.0,2.0273144E7,0.0,7.0392026E8
616637807,2664323,5418291,199,208,7.3215078E8,7.3215078E8,0.0,0.0,7957943.5,2.0274072E7,0.0,7.0391878E8
624196832,2695259,5460244,201,207,7.3215066E8,7.3215066E8,0.0,0.0,7958156.0,2.027395E7,0.0,7.0391853E8
631704552,2726275,5504404,205,208,7.3215046E8,7.3215046E8,0.0,0.0,7958239.5,2.0273574E7,0.0,7.0391866E8
