Iteration,Time (ms),# Perturbations,# Worse Values Kept,# Non-Zero,Total Energy,Equality Energy,Entropy Energy,Inequality Energy,Uncertain Slip Rate,Paleoseismic Event Rate,Laplacian Smoothing (43 parents),Rupture Rate Minimization,Uncertain MFD Equality
533557572,1305540,6424312,363755,2181,3194.6194,3194.6194,0.0,0.0,1613.1956,792.98694,7.758745,0.28557563,780.39264
545099735,1336798,6471750,365398,2126,3193.7808,3193.7808,0.0,0.0,1612.9523,792.91895,7.7314863,0.2848523,779.8932
558089076,1367903,6518466,366965,2194,3192.4153,3192.4153,0.0,0.0,1612.4133,792.2736,7.752558,0.28537384,779.6905
571628891,1399051,6568939,368744,2156,3190.9573,3190.9573,0.0,0.0,1611.415,791.84174,7.7140045,0.28571612,779.7008
582720402,1430180,6618238,370449,2145,3190.31,3190.31,0.0,0.0,1611.0769,791.931,7.705936,0.2865498,779.3097
594370610,1461328,6665998,372059,2061,3189.424,3189.424,0.0,0.0,1611.0991,791.31,7.717811,0.28777847,779.0094
606273820,1492466,6713707,373736,1997,3188.2068,3188.2068,0.0,0.0,1610.92,790.63086,7.695179,0.28706917,778.6735
617434270,1523595,6758168,375209,1960,3187.1897,3187.1897,0.0,0.0,1610.608,790.1479,7.6919117,0.28752872,778.4544
628146592,1554755,6801344,376677,1973,3186.4639,3186.4639,0.0,0.0,1610.0464,789.83307,7.6655083,0.28815717,778.6306
640813491,1585922,6848257,378213,1933,3185.8713,3185.8713,0.0,0.0,1609.9354,789.3727,7.652288,0.28654072,778.6245
654080119,1616990,6892663,379770,1925,3184.8054,3184.8054,0.0,0.0,1609.6571,788.87854,7.5914426,0.28661168,778.39185
666455785,1648143,6934710,381152,1922,3184.056,3184.056,0.0,0.0,1609.512,788.3765,7.5885515,0.28550777,778.29333
679198794,1679280,6978622,382606,1864,3183.318,3183.318,0.0,0.0,1609.4899,787.8875,7.5865536,0.28533182,778.0688
