Section Index,Slip Rate (m/yr),Slip Rate Standard Deviation (m/yr)
151,0.0024749999999999998,8.4961E-4
152,4.5000000000000004E-4,2.2704E-4
153,4.5000000000000004E-4,2.2704E-4
154,4.5000000000000004E-4,2.2704E-4
155,4.5000000000000004E-4,2.2704E-4
156,4.5000000000000004E-4,2.2704E-4
157,2.97E-4,1.5237E-4
158,3.510000000000001E-4,1.5371000000000002E-4
159,3.87E-4,1.55E-4
160,3.105E-4,1.4286E-4
161,3.465E-4,1.3822000000000001E-4
162,4.0500000000000003E-4,1.5471E-4
163,4.41E-4,1.5549E-4
164,4.95E-4,1.5542E-4
165,4.086E-4,1.5172E-4
166,4.0500000000000003E-4,1.5374E-4
167,6.075000000000001E-4,6.5243E-4
168,3.375E-4,5.325800000000001E-4
169,4.725000000000001E-4,5.720499999999999E-4
170,6.75E-5,3.2736E-4
171,6.75E-5,3.2736E-4
172,7.965E-4,3.3932E-4
173,1.7550000000000004E-4,3.2614E-4
174,4.7636100000000007E-4,3.6169E-4
175,4.23E-4,1.5423000000000002E-4
176,4.4700300000000007E-4,1.5594E-4
177,4.3200000000000004E-4,1.5643000000000002E-4
178,4.41E-4,1.4911E-4
179,3.510000000000001E-4,1.5499E-4
180,5.49E-4,2.2424E-4
181,5.13E-4,2.2511000000000002E-4
182,4.770000000000001E-4,2.1873999999999998E-4
183,5.0175E-4,2.2917000000000003E-4
184,7.425E-4,6.596999999999999E-4
185,7.72497E-4,6.1709E-4
186,8.2125E-4,6.2415E-4
187,7.425E-4,6.6405E-4
188,7.425E-4,6.6405E-4
189,0.00747,6.0612E-4
190,0.003645,9.5205E-4
191,0.003645,9.5205E-4
192,0.003915,9.5856E-4
193,0.0041400000000000005,9.183500000000001E-4
194,0.004365,8.7814E-4
195,0.003285,8.8398E-4
196,0.002745,8.983E-4
197,0.0020700000000000002,8.6613E-4
198,0.0013950000000000002,8.3395E-4
199,0.0012150000000000002,8.6792E-4
200,0.0012150000000000002,8.6792E-4
201,0.0032374999999999995,6.164699999999999E-4
202,0.0032374999999999995,6.164699999999999E-4
203,0.0030625,6.346500000000001E-4
204,0.0028875,6.528300000000001E-4
205,5.67E-4,1.7809E-4
206,5.13E-4,1.8099000000000001E-4
207,4.5000000000000004E-4,1.8385000000000002E-4
208,3.87E-4,1.8167000000000001E-4
209,4.23E-4,1.8089E-4
210,5.175000000000001E-4,6.0463E-4
211,5.175000000000001E-4,6.0463E-4
212,5.4E-4,5.122600000000001E-4
213,5.625000000000001E-4,4.199E-4
214,3.15E-4,3.8872E-4
215,6.75E-5,3.5755E-4
216,0.0016099999999999999,3.0306E-4
217,0.0016099999999999999,3.0306E-4
218,0.001755,0.0011549000000000002
219,0.00144,0.0011254
220,0.0011250000000000001,0.0010958
221,3.510000000000001E-4,1.5577E-4
222,3.39003E-4,1.5664000000000002E-4
223,3.33E-4,1.5708E-4
224,4.95E-4,7.682E-4
225,4.95E-4,7.682E-4
226,4.995E-4,3.5597E-4
227,4.995E-4,3.5597E-4
228,2.2500000000000002E-4,0.0010325
229,2.2500000000000002E-4,0.001047
230,2.7E-4,0.0010702
231,2.9250000000000006E-4,0.0010865
232,2.2500000000000002E-4,0.0010873999999999999
233,0.0029025,6.372600000000001E-4
234,0.00329247,6.882500000000001E-4
235,0.0031050000000000006,7.2173E-4
236,0.00261,6.8914E-4
237,0.00275625,7.0952E-4
238,0.0030150000000000003,7.7048E-4
239,0.0039825,7.166599999999999E-4
240,0.004995,8.0075E-4
241,0.006345,8.8128E-4
242,5.850000000000001E-4,0.001027
243,8.55E-4,0.0010852
244,9.9E-4,0.0010432999999999998
245,0.0011250000000000001,9.7564E-4
246,0.0022050000000000004,0.0010682
247,0.004185,0.0011579
248,0.00469503,0.0011555
249,0.00576,0.0011506
250,0.006165,0.0011784
251,0.005805,0.0011822
252,0.00126,5.094499999999999E-4
