Iteration,Time (ms),# Perturbations,# Worse Values Kept,# Non-Zero,Total Energy,Equality Energy,Entropy Energy,Inequality Energy,Normalized Slip Rate,Unnormlized Slip Rate,Rupture Rate Minimization,Normalized MFD Equality
316979347,1456351,1935444,39,128,9.8687878E8,9.8687878E8,0.0,0.0,5.98647E7,1.7576424E8,0.0,7.5124979E8
324558639,1487339,1961095,39,127,9.8687379E8,9.8687379E8,0.0,0.0,5.9863924E7,1.75748624E8,0.0,7.5126125E8
331033325,1518275,1985700,40,127,9.8686931E8,9.8686931E8,0.0,0.0,5.9861052E7,1.75754928E8,0.0,7.5125338E8
338708341,1549303,2010806,41,128,9.868649E8,9.868649E8,0.0,0.0,5.986568E7,1.75735024E8,0.0,7.5126426E8
345786306,1580288,2034008,41,129,9.8686035E8,9.8686035E8,0.0,0.0,5.986806E7,1.75734656E8,0.0,7.512576E8
353067502,1611299,2058350,41,125,9.8685696E8,9.8685696E8,0.0,0.0,5.9865632E7,1.7574776E8,0.0,7.5124358E8
360708680,1642283,2082716,43,124,9.8685389E8,9.8685389E8,0.0,0.0,5.9864312E7,1.75728E8,0.0,7.5126157E8
367684517,1673295,2103784,43,124,9.8685126E8,9.8685126E8,0.0,0.0,5.9862472E7,1.75728832E8,0.0,7.5125997E8
375059564,1704283,2127251,43,124,9.8684877E8,9.8684877E8,0.0,0.0,5.9861612E7,1.75718752E8,0.0,7.5126842E8
380936731,1735301,2149126,44,122,9.8684621E8,9.8684621E8,0.0,0.0,5.9854844E7,1.75727824E8,0.0,7.5126355E8
388070279,1766247,2174424,44,123,9.8684384E8,9.8684384E8,0.0,0.0,5.9855448E7,1.75718672E8,0.0,7.5126976E8
394964059,1797235,2197147,46,123,9.868416E8,9.868416E8,0.0,0.0,5.9861396E7,1.7574408E8,0.0,7.5123616E8
401524702,1828251,2219006,46,123,9.8683962E8,9.8683962E8,0.0,0.0,5.9855044E7,1.75728032E8,0.0,7.5125651E8
408347217,1859235,2242365,47,123,9.868375E8,9.868375E8,0.0,0.0,5.9853892E7,1.75703632E8,0.0,7.5127994E8
414719185,1890159,2265147,48,123,9.8683571E8,9.8683571E8,0.0,0.0,5.9850304E7,1.7571744E8,0.0,7.5126797E8
421029861,1921127,2288101,49,121,9.8683373E8,9.8683373E8,0.0,0.0,5.9850768E7,1.75703152E8,0.0,7.5127981E8
426841408,1952119,2309781,50,122,9.86832E8,9.86832E8,0.0,0.0,5.98507E7,1.75725584E8,0.0,7.5125574E8
433308191,1983131,2331062,50,123,9.8683046E8,9.8683046E8,0.0,0.0,5.9847864E7,1.75719776E8,0.0,7.5126285E8
440467162,2014143,2355051,52,125,9.8682886E8,9.8682886E8,0.0,0.0,5.9848084E7,1.7572152E8,0.0,7.5125926E8
447478571,2045103,2377736,52,123,9.8682726E8,9.8682726E8,0.0,0.0,5.9845464E7,1.75723792E8,0.0,7.5125805E8
454774582,2076079,2399472,53,124,9.8682586E8,9.8682586E8,0.0,0.0,5.984416E7,1.75722688E8,0.0,7.5125901E8
461751567,2106971,2422357,55,123,9.8682445E8,9.8682445E8,0.0,0.0,5.9844424E7,1.75719392E8,0.0,7.5126061E8
467970201,2137895,2443482,55,124,9.868231E8,9.868231E8,0.0,0.0,5.9845428E7,1.75723184E8,0.0,7.5125453E8
474434401,2168851,2467384,56,124,9.8682182E8,9.8682182E8,0.0,0.0,5.9841384E7,1.7571544E8,0.0,7.5126496E8
480927920,2199807,2489365,58,123,9.8682061E8,9.8682061E8,0.0,0.0,5.9837212E7,1.75717856E8,0.0,7.5126554E8
487968138,2230799,2511756,59,124,9.8681946E8,9.8681946E8,0.0,0.0,5.9837724E7,1.75701744E8,0.0,7.5128E8
494243937,2261787,2532173,60,124,9.868183E8,9.868183E8,0.0,0.0,5.9838976E7,1.75717984E8,0.0,7.5126131E8
500962432,2292670,2553140,60,122,9.8681728E8,9.8681728E8,0.0,0.0,5.9835068E7,1.75717552E8,0.0,7.5126464E8
507113820,2323611,2574450,61,123,9.8681651E8,9.8681651E8,0.0,0.0,5.9837316E7,1.75714416E8,0.0,7.5126477E8
513739415,2354603,2596400,64,124,9.8681587E8,9.8681587E8,0.0,0.0,5.9837696E7,1.75713056E8,0.0,7.5126515E8
521167114,2385511,2618716,65,124,9.8681523E8,9.8681523E8,0.0,0.0,5.9835008E7,1.75711424E8,0.0,7.512688E8
528052926,2416491,2640674,67,124,9.8681472E8,9.8681472E8,0.0,0.0,5.983548E7,1.7571304E8,0.0,7.5126618E8
534513657,2447499,2661850,70,123,9.8681421E8,9.8681421E8,0.0,0.0,5.9834156E7,1.75712528E8,0.0,7.5126746E8
541197768,2478491,2682427,70,123,9.8681382E8,9.8681382E8,0.0,0.0,5.9833872E7,1.75713696E8,0.0,7.5126624E8
547391729,2509483,2703560,73,123,9.868135E8,9.868135E8,0.0,0.0,5.9831592E7,1.7571248E8,0.0,7.5126944E8
554492958,2540499,2726031,74,122,9.8681318E8,9.8681318E8,0.0,0.0,5.9830496E7,1.7571312E8,0.0,7.5126957E8
560499263,2571491,2747592,75,122,9.8681299E8,9.8681299E8,0.0,0.0,5.9827932E7,1.75711216E8,0.0,7.5127379E8
567828746,2602459,2769454,76,121,9.8681274E8,9.8681274E8,0.0,0.0,5.9828836E7,1.75710448E8,0.0,7.5127341E8
574212665,2633447,2790230,76,122,9.8681248E8,9.8681248E8,0.0,0.0,5.9828688E7,1.75708384E8,0.0,7.5127539E8
580864276,2664383,2809790,77,122,9.8681222E8,9.8681222E8,0.0,0.0,5.9827012E7,1.75709904E8,0.0,7.5127533E8
587915212,2695375,2831318,77,122,9.8681203E8,9.8681203E8,0.0,0.0,5.982666E7,1.75711136E8,0.0,7.5127424E8
594661780,2726295,2852798,77,122,9.8681184E8,9.8681184E8,0.0,0.0,5.9827896E7,1.75709088E8,0.0,7.5127488E8
601690280,2757295,2873327,78,122,9.8681165E8,9.8681165E8,0.0,0.0,5.9826448E7,1.7570864E8,0.0,7.5127654E8
608824137,2788295,2895019,80,123,9.8681152E8,9.8681152E8,0.0,0.0,5.9826888E7,1.75709568E8,0.0,7.5127507E8
615768357,2819211,2914814,85,122,9.8681133E8,9.8681133E8,0.0,0.0,5.9825948E7,1.7570584E8,0.0,7.5127955E8
622457495,2850183,2934865,86,122,9.868112E8,9.868112E8,0.0,0.0,5.9826612E7,1.75707584E8,0.0,7.5127699E8
629731910,2881139,2955135,88,123,9.8681101E8,9.8681101E8,0.0,0.0,5.982558E7,1.7570816E8,0.0,7.5127731E8
636231498,2912039,2974732,91,122,9.8681088E8,9.8681088E8,0.0,0.0,5.98265E7,1.75705776E8,0.0,7.5127859E8
642715766,2943051,2994695,94,123,9.8681075E8,9.8681075E8,0.0,0.0,5.9826052E7,1.75708832E8,0.0,7.512759E8
649581480,2974027,3013545,94,122,9.8681062E8,9.8681062E8,0.0,0.0,5.982512E7,1.75706224E8,0.0,7.512793E8
656578340,3005047,3032691,96,122,9.8681056E8,9.8681056E8,0.0,0.0,5.9825068E7,1.75706128E8,0.0,7.5127936E8
662977038,3036067,3053109,97,122,9.8681043E8,9.8681043E8,0.0,0.0,5.982582E7,1.7570696E8,0.0,7.5127763E8
669312878,3067075,3071982,97,122,9.868103E8,9.868103E8,0.0,0.0,5.9825236E7,1.75706064E8,0.0,7.5127904E8
675734308,3098015,3091548,98,122,9.8681024E8,9.8681024E8,0.0,0.0,5.9825392E7,1.75707088E8,0.0,7.5127776E8
682770838,3129047,3111359,100,123,9.8681011E8,9.8681011E8,0.0,0.0,5.9825424E7,1.75705184E8,0.0,7.5127949E8
689191935,3160003,3129679,101,123,9.8681005E8,9.8681005E8,0.0,0.0,5.9824796E7,1.75707376E8,0.0,7.5127789E8
695685044,3191039,3149290,102,122,9.8680992E8,9.8680992E8,0.0,0.0,5.982536E7,1.75703712E8,0.0,7.512809E8
702189452,3222031,3168221,104,122,9.8680986E8,9.8680986E8,0.0,0.0,5.9825596E7,1.75705264E8,0.0,7.5127898E8
708779643,3253051,3188281,105,122,9.8680979E8,9.8680979E8,0.0,0.0,5.982588E7,1.75704016E8,0.0,7.5127987E8
715442179,3284026,3206647,107,122,9.8680973E8,9.8680973E8,0.0,0.0,5.9825376E7,1.75703312E8,0.0,7.5128102E8
722316098,3315011,3225450,108,122,9.868096E8,9.868096E8,0.0,0.0,5.9825556E7,1.75703504E8,0.0,7.5128058E8
728326998,3345903,3243753,111,122,9.8680954E8,9.8680954E8,0.0,0.0,5.982574E7,1.75704208E8,0.0,7.5127962E8
735806195,3376927,3262697,112,122,9.8680947E8,9.8680947E8,0.0,0.0,5.982546E7,1.75703904E8,0.0,7.5128013E8
742257736,3407915,3279978,114,122,9.8680941E8,9.8680941E8,0.0,0.0,5.9825936E7,1.75701936E8,0.0,7.5128154E8
749029172,3438919,3300349,115,123,9.8680934E8,9.8680934E8,0.0,0.0,5.9826528E7,1.75703696E8,0.0,7.512791E8
755563331,3469927,3318953,118,123,9.8680928E8,9.8680928E8,0.0,0.0,5.9826356E7,1.75703936E8,0.0,7.5127898E8
763227035,3500935,3339595,120,122,9.8680922E8,9.8680922E8,0.0,0.0,5.9826448E7,1.75703248E8,0.0,7.5127949E8
769576447,3531871,3356600,122,122,9.8680915E8,9.8680915E8,0.0,0.0,5.9825748E7,1.75701616E8,0.0,7.5128179E8
776658628,3562871,3375979,123,123,9.8680909E8,9.8680909E8,0.0,0.0,5.9825992E7,1.75703248E8,0.0,7.5127987E8
783169211,3593847,3393458,125,122,9.8680902E8,9.8680902E8,0.0,0.0,5.9826424E7,1.75703136E8,0.0,7.5127949E8
790777404,3624835,3412063,126,122,9.8680896E8,9.8680896E8,0.0,0.0,5.9826448E7,1.75701584E8,0.0,7.5128096E8
