Iteration,Time (ms),# Perturbations,# Worse Values Kept,# Non-Zero,Total Energy,Equality Energy,Entropy Energy,Inequality Energy,Uncertain Slip Rate,Paleoseismic Event Rate,Laplacian Smoothing (43 parents),Rupture Rate Minimization,Uncertain MFD Equality
573771529,1337579,9561587,630644,3452,1601.1747,1601.1747,0.0,0.0,896.0157,485.56006,5.032825,0.19281228,214.37323
586432816,1368799,9648830,634626,3446,1600.6063,1600.6063,0.0,0.0,895.5916,485.2209,5.0188103,0.19224513,214.58276
600409494,1399920,9738125,638731,3395,1599.8793,1599.8793,0.0,0.0,895.4308,484.65964,5.003726,0.19212857,214.593
612336706,1431036,9819333,642547,3314,1598.8771,1598.8771,0.0,0.0,894.7816,484.54263,4.9776077,0.19228052,214.383
625001835,1462219,9901426,646312,3290,1598.2545,1598.2545,0.0,0.0,894.66815,484.01123,4.9708495,0.19246684,214.41182
639570244,1493323,9990584,650279,3263,1597.6606,1597.6606,0.0,0.0,894.5242,483.42508,4.9848633,0.19277324,214.53372
653349911,1524496,10068320,653820,3121,1596.9238,1596.9238,0.0,0.0,893.7924,483.45685,4.976726,0.19324775,214.5046
666193243,1555648,10146917,657475,3177,1596.6248,1596.6248,0.0,0.0,893.74207,483.19424,4.937943,0.19298089,214.55754
680384357,1586764,10227812,661168,3190,1596.394,1596.394,0.0,0.0,893.52814,483.03464,4.9090753,0.19338259,214.72888
694483406,1617893,10304763,664595,3051,1595.7686,1595.7686,0.0,0.0,893.4525,482.5398,4.9394097,0.1921814,214.64465
708825044,1649050,10382020,668060,3032,1595.1937,1595.1937,0.0,0.0,893.0368,482.37128,4.9109287,0.19246347,214.68222
722219778,1680156,10453434,671368,2997,1594.7549,1594.7549,0.0,0.0,892.6777,482.29916,4.883504,0.19261788,214.7019
734348611,1711208,10522124,674577,2974,1594.309,1594.309,0.0,0.0,892.7306,481.87534,4.902048,0.19336061,214.60754
745971008,1742344,10590453,677654,2932,1593.9639,1593.9639,0.0,0.0,892.2921,481.7444,4.8938665,0.19270416,214.84076
759160403,1773425,10661643,680918,2858,1593.7198,1593.7198,0.0,0.0,891.98224,481.79407,4.8921866,0.19281524,214.85849
772061182,1804475,10730867,684097,2932,1593.2932,1593.2932,0.0,0.0,891.9029,481.37885,4.913289,0.19387363,214.90433
785846427,1835615,10798584,687229,2868,1593.1064,1593.1064,0.0,0.0,891.54236,481.27213,4.9243617,0.19382195,215.17378
799506956,1866747,10868411,690400,2865,1592.5269,1592.5269,0.0,0.0,891.3504,481.14502,4.908081,0.19394034,214.92947
811370632,1897856,10934066,693256,2860,1592.314,1592.314,0.0,0.0,891.13007,481.1112,4.9217606,0.19392465,214.95697
825367335,1928960,11007303,696528,2820,1591.9902,1591.9902,0.0,0.0,891.20483,480.64285,4.914656,0.19352187,215.03438
838622178,1960135,11072302,699377,2855,1591.7119,1591.7119,0.0,0.0,891.01465,480.49112,4.8906617,0.19370405,215.12181
852182055,1991251,11138248,702326,2791,1591.1345,1591.1345,0.0,0.0,890.665,480.4128,4.8729997,0.19342856,214.99031
865029468,2022359,11204178,705218,2819,1590.5879,1590.5879,0.0,0.0,890.4908,480.19687,4.8535895,0.1936159,214.853
878777982,2053544,11273836,708260,2754,1590.3357,1590.3357,0.0,0.0,890.27106,480.04846,4.8561954,0.19511113,214.9649
890808259,2084700,11342718,711298,2734,1589.9502,1589.9502,0.0,0.0,890.00525,479.88928,4.86121,0.1945913,214.99983
904338294,2115757,11405585,714074,2646,1589.6621,1589.6621,0.0,0.0,890.18085,479.30405,4.889471,0.19432932,215.09346
915936180,2146891,11465765,716692,2750,1589.4275,1589.4275,0.0,0.0,889.85394,479.30157,4.875953,0.19501111,215.20096
928893537,2177980,11527498,719358,2708,1589.1443,1589.1443,0.0,0.0,889.78284,479.18402,4.9065723,0.19600159,215.07484
942156982,2209168,11593122,722180,2643,1588.9009,1588.9009,0.0,0.0,889.64557,479.07983,4.8872485,0.19577225,215.09236
953501686,2240206,11653917,724816,2678,1588.8241,1588.8241,0.0,0.0,889.61005,478.78696,4.8913584,0.1960134,215.33965
966008017,2271308,11719163,727674,2641,1588.4031,1588.4031,0.0,0.0,889.2388,478.77164,4.8946557,0.19629562,215.30171
978723679,2302415,11778362,730129,2675,1588.1058,1588.1058,0.0,0.0,889.22437,478.53098,4.899229,0.19634365,215.25499
991394233,2333525,11842413,732821,2620,1587.82,1587.82,0.0,0.0,888.87933,478.6098,4.8781633,0.19618107,215.25652
1005472685,2364592,11908295,735650,2606,1587.6062,1587.6062,0.0,0.0,888.9491,478.32245,4.8978887,0.19626145,215.24054
1017502602,2395710,11967572,738185,2568,1587.2245,1587.2245,0.0,0.0,888.8485,478.1128,4.9086523,0.19683294,215.1577
1029818845,2426779,12024636,740652,2548,1586.8147,1586.8147,0.0,0.0,888.6206,478.067,4.892572,0.19639295,215.0382
1041786828,2457865,12080098,742940,2599,1586.5479,1586.5479,0.0,0.0,888.24426,478.12448,4.879117,0.19621433,215.10371
1055448855,2489000,12138785,745487,2539,1586.5228,1586.5228,0.0,0.0,888.514,477.694,4.8928494,0.19593772,215.22607
1068345283,2520066,12200738,748148,2554,1586.0837,1586.0837,0.0,0.0,888.158,477.62894,4.907739,0.19545212,215.1936
1080881018,2551121,12257547,750508,2493,1585.9294,1585.9294,0.0,0.0,888.2067,477.41748,4.903302,0.19539794,215.20651
1092626362,2582212,12312732,752872,2512,1585.892,1585.892,0.0,0.0,888.11365,477.3689,4.8626375,0.19554856,215.35118
1105058783,2613337,12368518,755194,2527,1585.7607,1585.7607,0.0,0.0,888.1818,477.12433,4.83727,0.1955081,215.42174
1118566543,2644441,12429622,757857,2535,1585.4159,1585.4159,0.0,0.0,888.0908,476.89102,4.843459,0.1955155,215.39503
1132409640,2675545,12493908,760567,2539,1585.1367,1585.1367,0.0,0.0,887.8737,476.86435,4.829926,0.19553779,215.37315
1144732934,2706663,12554724,763154,2507,1584.9751,1584.9751,0.0,0.0,887.7003,476.90924,4.8030734,0.19553196,215.36693
1156616964,2737731,12609377,765459,2492,1584.815,1584.815,0.0,0.0,887.7263,476.73242,4.8246217,0.19574067,215.33578
1167510633,2768841,12661996,767601,2445,1584.7341,1584.7341,0.0,0.0,887.62067,476.6225,4.8296394,0.19573948,215.46555
1181483002,2800004,12721250,770023,2475,1584.3525,1584.3525,0.0,0.0,887.3705,476.48978,4.8179855,0.19579627,215.47847
1193541547,2831123,12779490,772473,2467,1584.2056,1584.2056,0.0,0.0,887.35596,476.3458,4.8031583,0.19572426,215.50497
1206387756,2862271,12836089,774847,2393,1583.925,1583.925,0.0,0.0,887.1929,476.21527,4.8069553,0.19627586,215.51372
1217046759,2893299,12886787,776940,2405,1583.7798,1583.7798,0.0,0.0,887.19086,475.95444,4.793719,0.19626273,215.64449
1230305197,2924416,12947286,779561,2451,1583.4663,1583.4663,0.0,0.0,887.10297,475.866,4.7768855,0.19651665,215.52391
1243041084,2955439,13005652,781990,2422,1583.2004,1583.2004,0.0,0.0,886.9141,475.7466,4.7836967,0.19671272,215.55925
1255953504,2986547,13060714,784256,2405,1582.948,1582.948,0.0,0.0,887.07324,475.3811,4.7803154,0.19668333,215.5166
1268339881,3017699,13118180,786653,2383,1582.6193,1582.6193,0.0,0.0,886.81616,475.3591,4.771608,0.1972704,215.47517
1280160602,3048791,13170798,788863,2365,1582.4285,1582.4285,0.0,0.0,886.66364,475.38297,4.7553744,0.19722472,215.42934
1295374258,3079896,13231728,791422,2369,1582.2365,1582.2365,0.0,0.0,886.7091,475.14093,4.763009,0.1973073,215.42613
1308852542,3111039,13286703,793682,2350,1582.0558,1582.0558,0.0,0.0,886.5528,475.00357,4.7515116,0.19722925,215.5507
1322878418,3142885,13342334,795885,2390,1581.872,1581.872,0.0,0.0,886.3791,475.02826,4.737442,0.19739155,215.52983
1334530189,3174091,13395325,797999,2361,1581.6586,1581.6586,0.0,0.0,886.37604,474.88492,4.764609,0.19745857,215.43556
1347824341,3205311,13449655,800158,2315,1581.4957,1581.4957,0.0,0.0,886.3085,474.70798,4.7414355,0.19756521,215.54027
1362446387,3236527,13509641,802689,2336,1581.2606,1581.2606,0.0,0.0,886.19635,474.64734,4.7353663,0.19760986,215.48393
1376078989,3267711,13566015,805075,2307,1580.9966,1580.9966,0.0,0.0,886.1913,474.49133,4.715291,0.19790457,215.40079
1389179148,3298911,13612973,807052,2329,1580.8582,1580.8582,0.0,0.0,885.88983,474.57468,4.6948776,0.19807373,215.50067
1402500871,3330051,13664272,809148,2326,1580.7758,1580.7758,0.0,0.0,885.93085,474.41925,4.711214,0.19790673,215.5165
1416718575,3361263,13714328,811247,2285,1580.5165,1580.5165,0.0,0.0,885.93286,474.2817,4.7009335,0.19760922,215.40337
1429235978,3392455,13767185,813459,2265,1580.1923,1580.1923,0.0,0.0,885.80963,474.1056,4.6904473,0.19771121,215.38896
1443704553,3423681,13819756,815592,2276,1580.1382,1580.1382,0.0,0.0,885.6402,474.12912,4.6960945,0.19775754,215.47507
1459254629,3454971,13871149,817754,2217,1579.9387,1579.9387,0.0,0.0,885.71204,473.88684,4.6932955,0.19787987,215.44873
