Section Index,5.05,5.1499999999999995,5.25,5.35,5.45,5.55,5.6499999999999995,5.75,5.85,5.949999999999999,6.05,6.1499999999999995,6.25,6.35,6.449999999999999,6.55,6.6499999999999995,6.75,6.85,6.949999999999999,7.05,7.1499999999999995,7.25,7.35,7.449999999999999,7.55,7.6499999999999995,7.75,7.85,7.949999999999999,8.049999999999999,8.149999999999999,8.25,8.35,8.45,8.549999999999999,8.649999999999999,8.75,8.85,8.95
0,2.6666369833599037E-4,2.0752188231924564E-4,1.6149679131450919E-4,1.2567934192481763E-4,9.780563971636058E-5,7.611388644960435E-5,5.923302303695457E-5,4.6096069741747026E-5,3.5872686158705E-5,2.791668833049137E-5,2.1725205742717198E-5,1.6906896655355783E-5,1.315721277395503E-5,1.0239149827906875E-5,7.968267367831799E-6,6.201030936396846E-6,4.825739762371192E-6,3.755466549512474E-6,2.9225631092832073E-6,2.2743845578525878E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.1210269323744456E-4,1.6506165038691133E-4,1.2845357129883417E-4,9.996458862944427E-5,7.779401443504025E-5,6.054052504885418E-5,4.7113588362912265E-5,3.66645351463126E-5,2.8532917661466408E-5,2.2204765095948574E-5,1.728009728329039E-5,1.3447643369776662E-5,1.0465167483493668E-5,8.144157860678909E-6,6.3379116831406516E-6,4.9322625114172495E-6,3.838364227485896E-6,2.9870753855333548E-6,2.3245890254410586E-6,1.8090317249345696E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0616866103618081E-4,8.262212111744569E-5,6.429783357274788E-5,5.0037584925617E-5,3.894003524015343E-5,3.0303747608092618E-5,2.3582852799990448E-5,1.835254679977254E-5,1.4282240443699805E-5,1.111466404729084E-5,8.649606297493281E-6,6.731259602927162E-6,5.238372046497673E-6,4.076583480095672E-6,3.1724613530075564E-6,2.468859299819935E-6,1.9213051205585052E-6,1.4951898500467655E-6,1.1635802474897943E-6,9.055164414780243E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.2516377691211174E-5,9.740441891817093E-6,7.580165011677918E-6,5.89900358140192E-6,4.590697326480722E-6,3.5725528307526316E-6,2.780216777720564E-6,2.163608404774936E-6,1.6837540751231535E-6,1.3103238919007312E-6,1.0197146525452598E-6,7.935579737519429E-7,6.175592908598884E-7,4.805943489222416E-7,3.740060778526871E-7,2.9105740961049496E-7,2.2650545193155558E-7,1.762701036313637E-7,1.3717616582403815E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0605811317350322E-5,8.253609103276457E-6,6.42308836083526E-6,4.99854834107906E-6,3.889948902221703E-6,3.0272193903859178E-6,2.355829721129379E-6,1.8333437254605405E-6,1.4267369095225698E-6,1.1103090930112798E-6,8.640599915762003E-7,6.724250695072724E-7,5.232917604216885E-7,4.072338747362367E-7,3.169158035262193E-7,2.466288606018364E-7,1.9193045662277233E-7,1.4936329872154299E-7,1.162368672358692E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0260833330489057E-4,7.985141810432002E-5,6.214162892914852E-5,4.835959257383671E-5,3.7634195211939345E-5,2.9287522368760036E-5,2.2792010342458384E-5,1.7737100766326147E-5,1.3803290664919693E-5,1.0741937799777378E-5,8.359544871973245E-6,6.505529241472869E-6,5.062705130461069E-6,3.939876724340711E-6,3.0660740064843653E-6,2.3860669942184996E-6,1.8568748467448113E-6,1.4450491980435245E-6,1.1245600038294952E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.4349863713458363E-4,1.1167289538936111E-4,8.690560282427677E-5,6.763130637849026E-5,5.263174586924871E-5,4.095885206981903E-5,3.1874822603167915E-5,2.4805488060347125E-5,1.9304020780679508E-5,1.5022692453957366E-5,1.1690895442469711E-5,9.098038628272347E-6,7.0802366926351935E-6,5.50995150404819E-6,4.287930883517319E-6,3.336935224985743E-6,2.596855452720517E-6,2.0209137389992614E-6,1.5727068428846927E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.1711893077163328E-4,9.114379317699001E-5,7.0929532740423E-5,5.5198477476191705E-5,4.2956322958450944E-5,3.342928585134693E-5,2.601519579811267E-5,2.0245434360269683E-5,1.575531530174859E-5,1.2261034060333521E-5,9.541729463958968E-6,7.4255238763203065E-6,5.778659418721907E-6,4.497043607128116E-6,3.4996700340032844E-6,2.723498239484961E-6,2.1194691466363317E-6,1.6494042105174436E-6,1.2835922872433676E-6,9.98911697547914E-7,7.773687871255249E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.4073995814983608E-4,1.0952604803367776E-4,8.523489246106056E-5,6.633113330825837E-5,5.161993074570927E-5,4.017144163372951E-5,3.126204742276361E-5,2.4328616781393393E-5,1.8932912054407456E-5,1.4733889808896774E-5,1.14661446837585E-5,8.923134054490946E-6,6.944123203608168E-6,5.404025847019544E-6,4.205497871938853E-6,3.2727845594292583E-6,2.546932396258814E-6,1.9820628316102512E-6,1.5424724559715565E-6,1.200376314759918E-6,9.341517195060836E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
