Rupture Index,Average Slip (m)
0,1.5864231380547247
1,1.943252505672636
2,2.244041074319459
3,2.5090935445953124
4,2.9685237501784645
5,3.3661183355311213
6,3.7213193956049184
7,4.044922925609376
8,4.344330387459493
9,4.624426365294666
10,4.888459166757694
11,4.487838906451295
12,4.88992716997184
13,5.261157383381362
14,5.607990523310897
15,5.934599975224202
16,6.244179642239734
17,6.539037989465404
18,6.8213585887596055
19,7.092672169996866
20,7.353927166400093
21,5.9355000892493495
22,6.344965465347343
23,6.729645190782015
24,7.093440601668935
25,7.439310967014777
26,7.770069957237066
27,8.08751012983988
28,8.392855047283165
29,8.687295956342588
30,8.971941677396943
31,9.247834898540383
32,9.515888834474707
33,9.776627592384662
34,7.440305729023849
35,7.851469607395316
36,8.24191978264665
37,8.614997920527584
38,8.972769465009899
39,9.316694250101575
40,9.648182459981435
41,9.96851015895076
42,10.278856941467257
43,10.58026783387463
44,10.873355031283934
45,11.158632575911831
46,11.436662467364206
47,11.708048280062071
48,11.973337934115449
49,12.232849668678961
50,12.486778029557994
51,12.735547838482484
52,12.979609610762994
53,13.219161551144182
54,13.454431437188079
55,13.685618117500688
56,13.912895826371
57,14.136462731785635
58,14.356518086964087
59,14.573241818270006
60,14.786794192602937
61,14.997292021518978
62,15.20484929470157
63,15.409550213432349
64,15.611512499595772
65,15.810857222396182
66,16.00769220381193
67,16.202096791783656
68,16.39415970941035
69,16.583974395803672
70,16.771616201923514
71,16.957145729500493
72,17.140626890286065
73,17.32211950336819
74,17.501681658928494
75,17.679378795471667
76,17.855259101132994
77,18.029374603267534
78,18.201767947575274
79,18.372493977416806
80,18.54161231359076
81,18.70916207655855
82,18.875169066874633
83,19.039690089022553
84,19.202773746097137
85,19.364464175156662
86,19.524791961757764
87,19.683788117212096
88,19.84148184185277
89,19.997902374879267
90,20.153084926389557
91,20.30705756094141
92,20.459846167333072
93,20.611471092826655
94,20.761956270414938
95,20.911324645553226
96,21.05961925813741
97,21.206800857586767
98,21.35279829784443
99,21.497764958275653
100,21.64182031879902
101,21.784992805127843
102,21.92725219875408
103,21.983825415161167
104,8.760081009567912
105,9.180739617581814
106,9.583155297682746
107,9.969219502881371
108,10.340696091010017
109,10.699132336431969
110,11.045923845371307
111,11.382316384196484
112,11.709077939830763
113,12.026855823994332
114,12.336310465151689
115,12.638155107279088
116,12.933024471950706
117,13.221282204262678
118,13.503181949007098
119,13.779212431529182
120,14.04988075974617
121,14.315411601315335
122,14.576080512856828
123,14.832135024901056
124,15.083787001843772
125,15.331257899765914
126,15.574765205117735
127,15.7747606433183
128,15.97225643081929
129,16.167326860034798
130,16.360046723639893
131,16.550465899424147
132,16.73866790666051
133,16.92474177051116
134,17.108766313719055
135,17.29079560904631
136,17.470894145416146
137,17.6491323809663
138,17.825565194355665
139,18.000234811029802
140,18.173187659058286
141,18.344467317874344
142,18.514116657674208
143,18.682186354892444
144,18.848711566033426
145,19.01373178742538
146,19.177278277323193
147,19.339394471067106
148,19.500128938844963
149,19.659511310672322
150,19.817558997759956
151,19.974319362770164
152,20.1298324108776
153,20.284134297408468
154,20.437248607464845
155,20.589199650682918
156,20.74001030474647
157,20.889703763621174
158,21.038309204649238
159,21.1858492195513
160,21.332344545709468
161,21.506843018194655
162,21.679900417329133
163,21.85154869799638
164,22.021842000631157
165,22.19074883592199
166,22.358208031774723
167,22.496696814295746
168,22.634395379533217
169,22.771327962170602
170,22.907462819071387
171,22.961621087853253
172,10.032253648349927
173,10.461981380900228
174,10.874557527870474
175,11.271886379666947
176,11.65564221351986
177,12.027308439150369
178,12.387860527874432
179,12.738118335496665
180,13.030692644495183
181,13.316807302521408
182,13.59696700151344
183,13.871434327871984
184,14.14037862209236
185,14.404203476553903
186,14.663339651677566
187,14.917955207992287
188,15.168272787574425
189,15.41449329931452
190,15.656787751499428
191,15.895340176555862
192,16.130334154964736
193,16.32352414967941
194,16.51445855584359
195,16.703197966943254
196,16.889804379507627
197,17.074316482705555
198,17.256806305556214
199,17.437351958332403
200,17.616022333846253
201,17.792862885925693
202,17.967929706641268
203,18.14128519002317
204,18.312977035645552
205,18.48304102545925
