Iteration,Time (ms),# Perturbations,# Worse Values Kept,# Non-Zero,Total Energy,Equality Energy,Entropy Energy,Inequality Energy,Uncertain Slip Rate,Paleoseismic Event Rate,Laplacian Smoothing (52 parents),Rupture Rate Minimization,Uncertain MFD Equality
631770626,1520973,6260358,315914,1856,2770.8047,2770.8047,0.0,0.0,1566.6405,792.5972,18.342253,0.49264473,392.7321
645260985,1552130,6313585,317766,1823,2769.9963,2769.9963,0.0,0.0,1566.1696,792.3022,18.302744,0.492153,392.72958
657941287,1583277,6357202,319228,1792,2769.4712,2769.4712,0.0,0.0,1565.5859,792.296,18.232557,0.49124065,392.86557
670491245,1614381,6404799,320859,1818,2768.974,2768.974,0.0,0.0,1565.0676,792.2645,18.213541,0.49170905,392.93686
682956308,1645462,6448954,322340,1758,2768.567,2768.567,0.0,0.0,1564.9938,791.9129,18.17586,0.49213585,392.9922
695948946,1676510,6497826,323983,1734,2767.9368,2767.9368,0.0,0.0,1564.8945,791.51294,18.122602,0.49046332,392.9162
709319974,1707600,6543906,325518,1714,2766.8267,2766.8267,0.0,0.0,1564.2765,791.3381,18.082132,0.49008042,392.6399
722297312,1738739,6586225,326949,1696,2766.1892,2766.1892,0.0,0.0,1564.1127,790.818,18.006824,0.4890892,392.76276
734374101,1769747,6628619,328309,1769,2765.4978,2765.4978,0.0,0.0,1563.6063,790.6829,17.9608,0.4866542,392.761
747776740,1800902,6673128,329795,1700,2764.7925,2764.7925,0.0,0.0,1563.3444,790.2239,17.953733,0.48580542,392.7848
761848660,1832023,6718156,331323,1716,2764.009,2764.009,0.0,0.0,1562.9143,789.9167,17.962673,0.4845301,392.73074
775306222,1863130,6760819,332721,1668,2763.4016,2763.4016,0.0,0.0,1562.8304,789.4415,17.920914,0.4851833,392.7236
787340603,1894159,6801571,334092,1681,2762.5725,2762.5725,0.0,0.0,1562.4011,789.1323,17.852058,0.48400632,392.70303
802080939,1925266,6843132,335496,1616,2761.9739,2761.9739,0.0,0.0,1562.3015,788.5222,17.799038,0.48253962,392.8685
814048037,1956445,6882177,336773,1589,2761.402,2761.402,0.0,0.0,1562.03,788.261,17.784893,0.48148456,392.84473
828437062,1987543,6923165,338193,1610,2760.709,2760.709,0.0,0.0,1561.842,788.0553,17.743052,0.48305437,392.58557
840522982,2017769,6962131,339375,1628,2760.0195,2760.0195,0.0,0.0,1561.4545,787.7296,17.688591,0.48337612,392.6635
855072386,2048174,7005545,340860,1564,2759.755,2759.755,0.0,0.0,1561.5582,787.17596,17.620342,0.48383796,392.91656
867085435,2079313,7044766,342204,1560,2759.1533,2759.1533,0.0,0.0,1561.4419,786.66077,17.57041,0.48388186,392.9964
880427340,2110349,7084562,343498,1540,2758.4163,2758.4163,0.0,0.0,1561.3022,786.3334,17.570232,0.48374197,392.72678
894164776,2141410,7123763,344792,1587,2757.3782,2757.3782,0.0,0.0,1560.9723,785.7066,17.575737,0.48410016,392.6394
909853340,2172549,7164025,346120,1568,2756.8289,2756.8289,0.0,0.0,1560.7543,785.37744,17.589466,0.48525557,392.62247
921968495,2203679,7203118,347329,1539,2756.2856,2756.2856,0.0,0.0,1560.5734,785.06586,17.52381,0.48518077,392.63754
933696451,2234799,7241524,348660,1539,2755.811,2755.811,0.0,0.0,1560.5386,784.61035,17.50101,0.48561975,392.67535
947424518,2265930,7281349,349934,1518,2755.3835,2755.3835,0.0,0.0,1560.6436,784.0868,17.500546,0.48527852,392.6675
960715896,2297015,7320241,351214,1499,2754.6633,2754.6633,0.0,0.0,1560.3522,783.7634,17.477306,0.48614368,392.58423
972973923,2328145,7357817,352403,1518,2753.8767,2753.8767,0.0,0.0,1559.9622,783.32214,17.484118,0.48644257,392.62177
984700503,2359299,7394122,353587,1503,2753.6228,2753.6228,0.0,0.0,1560.0032,783.0382,17.445614,0.48753795,392.64844
995919254,2389521,7428423,354675,1461,2753.3037,2753.3037,0.0,0.0,1559.7605,782.9688,17.472666,0.4871212,392.61472
1009091378,2420633,7465113,355923,1480,2752.746,2752.746,0.0,0.0,1559.5768,782.62463,17.50591,0.48769084,392.55112
1021858651,2451746,7502501,357096,1481,2752.241,2752.241,0.0,0.0,1559.5857,782.2418,17.43415,0.4877086,392.49173
1035330982,2482837,7538069,358216,1456,2751.8052,2751.8052,0.0,0.0,1559.4055,781.9574,17.442669,0.48752272,392.51196
1047445839,2513950,7573775,359402,1450,2751.3306,2751.3306,0.0,0.0,1559.4891,781.5318,17.395193,0.48843527,392.426
1060376191,2545114,7611692,360582,1444,2750.7085,2750.7085,0.0,0.0,1559.0963,781.2285,17.423708,0.48824432,392.47183
1073858192,2576210,7645844,361663,1447,2750.3503,2750.3503,0.0,0.0,1558.9417,781.02515,17.41402,0.4885373,392.4811
1088948082,2607339,7683131,362807,1446,2749.9514,2749.9514,0.0,0.0,1558.7433,780.9849,17.410505,0.4891785,392.3235
1102147903,2638477,7718812,363999,1442,2749.639,2749.639,0.0,0.0,1558.5731,780.8041,17.401482,0.4892007,392.37112
1115513583,2669619,7754780,365122,1425,2749.2412,2749.2412,0.0,0.0,1558.5974,780.41125,17.386951,0.48952502,392.35593
1129000305,2700747,7790446,366350,1406,2748.7056,2748.7056,0.0,0.0,1558.3616,780.0721,17.40622,0.49008766,392.37546
1141642682,2731826,7823725,367442,1444,2748.3472,2748.3472,0.0,0.0,1558.3939,779.6442,17.375296,0.49092707,392.44272
1155272296,2762961,7858602,368594,1393,2747.8555,2747.8555,0.0,0.0,1558.3298,779.3174,17.37161,0.4909938,392.34573
1169437977,2794117,7894072,369798,1394,2747.4485,2747.4485,0.0,0.0,1558.1951,779.19073,17.334099,0.4907776,392.23798
1181953157,2825151,7928691,370960,1383,2747.0852,2747.0852,0.0,0.0,1558.132,778.91254,17.315426,0.4914714,392.23383
1195244608,2856318,7962719,372071,1418,2746.6125,2746.6125,0.0,0.0,1558.1056,778.4338,17.282495,0.491734,392.29886
1207548653,2887474,7994121,373038,1402,2746.346,2746.346,0.0,0.0,1557.8969,778.2941,17.281939,0.4929602,392.38013
1221837626,2918610,8030486,374188,1442,2746.002,2746.002,0.0,0.0,1557.9248,778.057,17.258823,0.49349552,392.26773
1234817164,2949741,8064645,375265,1374,2745.463,2745.463,0.0,0.0,1557.989,777.59674,17.216719,0.49370828,392.16666
