Iteration,Time (ms),# Perturbations,# Worse Values Kept,# Non-Zero,Total Energy,Equality Energy,Entropy Energy,Inequality Energy,Uncertain Slip Rate,Paleoseismic Event Rate,Laplacian Smoothing (43 parents),Rupture Rate Minimization,Uncertain MFD Equality
517899124,1304246,4632669,234069,1487,6075.9116,6075.9116,0.0,0.0,3379.9065,1507.751,17.653967,0.58694476,1170.0133
530723843,1335409,4668290,235171,1450,6073.8823,6073.8823,0.0,0.0,3379.2363,1506.309,17.632277,0.58742255,1170.1174
544864037,1365773,4707476,236305,1421,6072.9014,6072.9014,0.0,0.0,3378.6724,1505.9088,17.576027,0.5860699,1170.1578
557000939,1396928,4740455,237296,1413,6071.9834,6071.9834,0.0,0.0,3377.9028,1506.0096,17.544472,0.5846647,1169.9419
571260920,1427949,4775856,238385,1389,6071.0776,6071.0776,0.0,0.0,3377.6812,1505.4094,17.519167,0.5841013,1169.8835
583500462,1459004,4808916,239347,1389,6070.436,6070.436,0.0,0.0,3377.7866,1504.8091,17.422283,0.5850601,1169.833
596663774,1490152,4843282,240325,1329,6069.227,6069.227,0.0,0.0,3377.4558,1504.2446,17.413599,0.5869323,1169.526
609761047,1521276,4877218,241338,1348,6068.2236,6068.2236,0.0,0.0,3377.0503,1503.404,17.306417,0.5861846,1169.8765
623896198,1552345,4910129,242231,1352,6066.783,6066.783,0.0,0.0,3377.7957,1502.1643,17.222425,0.58627474,1169.0144
637237268,1583501,4943196,243170,1344,6064.494,6064.494,0.0,0.0,3377.481,1500.2518,17.171846,0.5839355,1169.0052
650514059,1614569,4975989,244076,1316,6063.137,6063.137,0.0,0.0,3377.5012,1498.9348,17.015018,0.5833964,1169.1028
664295640,1645668,5007324,244943,1288,6061.4126,6061.4126,0.0,0.0,3376.7651,1497.5518,16.936964,0.58547974,1169.5731
677327144,1676774,5037845,245819,1315,6060.4277,6060.4277,0.0,0.0,3376.9336,1496.5071,16.894138,0.5844312,1169.5082
690792910,1707849,5068524,246638,1293,6059.496,6059.496,0.0,0.0,3376.1992,1496.9807,16.818811,0.5839445,1168.9137
703932295,1738932,5098466,247525,1288,6059.0757,6059.0757,0.0,0.0,3375.8894,1496.8202,16.818993,0.5853418,1168.9619
716338548,1770056,5128764,248376,1265,6058.583,6058.583,0.0,0.0,3375.9717,1496.6093,16.773384,0.5867767,1168.6418
729478389,1801121,5158002,249183,1259,6057.8076,6057.8076,0.0,0.0,3376.118,1496.1849,16.708,0.5879844,1168.209
742954622,1832269,5189514,250041,1250,6056.8384,6056.8384,0.0,0.0,3375.3425,1495.5034,16.747581,0.5876669,1168.6572
755899995,1863341,5219902,250834,1229,6056.3105,6056.3105,0.0,0.0,3375.6208,1494.9386,16.738766,0.59141135,1168.4209
768420701,1894380,5249190,251680,1233,6055.308,6055.308,0.0,0.0,3375.4434,1494.3615,16.735573,0.5883178,1168.1794
781380774,1925511,5277214,252525,1190,6054.416,6054.416,0.0,0.0,3374.6365,1493.9567,16.707174,0.5894257,1168.5262
794654242,1956664,5306422,253352,1201,6053.986,6053.986,0.0,0.0,3374.8064,1493.6306,16.6784,0.58954203,1168.2808
806900575,1987817,5334597,254117,1198,6053.5254,6053.5254,0.0,0.0,3375.0605,1493.2197,16.691454,0.5910714,1167.9628
820041344,2018945,5363362,254930,1164,6052.403,6052.403,0.0,0.0,3374.8262,1492.5613,16.689575,0.5928619,1167.733
834285229,2050009,5390904,255685,1209,6051.4478,6051.4478,0.0,0.0,3375.239,1492.0776,16.62194,0.592694,1166.9164
846909052,2081148,5420091,256473,1172,6050.064,6050.064,0.0,0.0,3374.5623,1490.8617,16.578178,0.59230167,1167.4694
858949263,2112308,5448223,257244,1184,6049.627,6049.627,0.0,0.0,3375.0708,1490.4912,16.546669,0.59142363,1166.9271
872451965,2143421,5476130,258031,1161,6048.794,6048.794,0.0,0.0,3374.8987,1490.233,16.519323,0.590953,1166.552
886158575,2174517,5502844,258798,1156,6047.9326,6047.9326,0.0,0.0,3374.6543,1489.3324,16.517708,0.59278756,1166.8352
898913674,2205612,5529612,259566,1172,6047.492,6047.492,0.0,0.0,3374.5288,1488.978,16.480368,0.59249854,1166.9125
911007116,2236716,5556377,260304,1138,6046.922,6046.922,0.0,0.0,3374.4612,1488.489,16.476496,0.59224457,1166.9031
923167448,2267852,5582636,260997,1141,6046.419,6046.419,0.0,0.0,3374.5515,1488.7828,16.452393,0.59174496,1166.0402
937441894,2299009,5610660,261750,1144,6045.7627,6045.7627,0.0,0.0,3374.3074,1488.1359,16.361145,0.5902417,1166.368
951459030,2330116,5638322,262469,1104,6045.818,6045.818,0.0,0.0,3374.467,1487.8875,16.360363,0.5885457,1166.5144
966520787,2361244,5663713,263184,1114,6045.3516,6045.3516,0.0,0.0,3374.887,1487.4421,16.34937,0.5877878,1166.0853
978682331,2392349,5687526,263855,1110,6044.549,6044.549,0.0,0.0,3374.713,1486.862,16.329128,0.58798814,1166.0569
991457567,2422641,5715658,264587,1110,6044.006,6044.006,0.0,0.0,3374.467,1486.6267,16.291834,0.5860845,1166.034
1004190610,2453765,5742438,265301,1095,6043.7993,6043.7993,0.0,0.0,3374.304,1486.5087,16.2619,0.58442545,1166.1403
1018354826,2484908,5768551,266014,1114,6043.56,6043.56,0.0,0.0,3374.3716,1486.4567,16.246845,0.583712,1165.9011
1030807292,2515950,5792362,266640,1104,6043.093,6043.093,0.0,0.0,3374.1206,1486.1223,16.212473,0.5836297,1166.0538
1044383737,2547089,5818768,267345,1100,6042.8687,6042.8687,0.0,0.0,3374.0613,1486.1259,16.163212,0.5828461,1165.9353
1058329514,2578216,5845264,268106,1095,6042.3384,6042.3384,0.0,0.0,3374.049,1485.657,16.150389,0.58060575,1165.9015
1070819852,2609346,5871102,268809,1092,6042.1694,6042.1694,0.0,0.0,3374.1682,1485.6101,16.126665,0.5793233,1165.6848
1084210810,2640533,5896666,269489,1084,6041.93,6041.93,0.0,0.0,3374.3494,1485.3894,16.142212,0.57964015,1165.4697
1097081178,2671677,5920302,270149,1087,6041.327,6041.327,0.0,0.0,3374.388,1484.4081,16.09563,0.58020246,1165.8553
1109103118,2702753,5945170,270813,1080,6041.024,6041.024,0.0,0.0,3374.9219,1484.1415,16.104063,0.57793486,1165.2789
1121998401,2733904,5969634,271468,1076,6040.273,6040.273,0.0,0.0,3374.735,1483.6005,16.10986,0.57775164,1165.2499
1136199476,2765046,5995198,272174,1090,6039.8057,6039.8057,0.0,0.0,3375.1323,1483.5658,16.101255,0.57764566,1164.4287
1150947707,2796186,6020844,272890,1067,6039.058,6039.058,0.0,0.0,3374.698,1482.8469,16.069952,0.57739955,1164.866
1162366927,2827300,6041699,273424,1064,6038.957,6038.957,0.0,0.0,3374.7883,1482.2314,16.063526,0.577046,1165.2969
1175549740,2858329,6064966,274065,1060,6038.7437,6038.7437,0.0,0.0,3374.7693,1482.1217,16.059923,0.5755618,1165.2172
