Iteration,Time (ms),Target Mean Absolute Deviation,Constraint Name,Short Name,Weight,Weight Type,Inequality,Rows,Mean,Mean Absolute,Median,Minimum,Maximum,L2 Norm,Energy,Standard Deviation,Root Mean Squared Error
8848327,30445,3.2155897313520727,Uncertain Slip Rate,UncertSlipRate,1.0,NORMALIZED_BY_UNCERTAINTY,false,2325,-0.3712205136875767,0.6359517735943637,-0.3022970608127474,-10.652173913043478,4.8737256494221395,2147.094508883873,2147.094508883873,0.8865748193717646,0.9609794530568095
8848327,30445,3.2155897313520727,Paleoseismic Event Rate,PaleoRate,1.0,NORMALIZED_BY_UNCERTAINTY,false,65,-1.0987640631781845,1.461791225962178,-1.232734033107903,-4.559425266320494,4.556897004570278,192.0655495261948,192.0655495261948,1.3322454564664123,1.71896905385039
8848327,30445,3.2155897313520727,Uncertain MFD Equality,UncertMFDEquality,1.0,NORMALIZED_BY_UNCERTAINTY,false,34,7.549026194499676,7.549026194499676,-0.12847569813828585,0.7430486037234283,14.654933851836963,1104.7700966277066,1104.7700966277066,2.9152353719145507,8.061418998676228
20278845,61476,1.6175184669623501,Uncertain Slip Rate,UncertSlipRate,0.9631123629904133,NORMALIZED_BY_UNCERTAINTY,false,2325,-0.7564105703153897,0.8274656589824154,-0.5841775074564861,-10.652173913043478,3.176444615983622,3182.1540654488467,2951.719727221172,0.8926669016772539,1.1699010279706639
20278845,61476,1.6175184669623501,Paleoseismic Event Rate,PaleoRate,1.2987313145881474,NORMALIZED_BY_UNCERTAINTY,false,65,-1.6603877557187368,1.74084882790816,-1.7101934748408787,-5.415569381041021,1.6579233542520952,261.89495360963303,441.7390111382078,1.136725465375266,2.0072750515203173
20278845,61476,1.6175184669623501,Uncertain MFD Equality,UncertMFDEquality,2.9513594293841012,NORMALIZED_BY_UNCERTAINTY,false,34,2.284240913996475,2.284240913996475,-0.11277890536742108,0.7744421892651578,4.322585703033831,109.65471586946003,955.1498677740451,1.1443572012673027,2.5397396331289324
31367865,92654,1.240252371414804,Uncertain Slip Rate,UncertSlipRate,0.9233430905648061,NORMALIZED_BY_UNCERTAINTY,false,2325,-0.8778304452263711,0.9283664290027045,-0.6778932950683895,-10.65217391304348,2.6861851287359997,3967.2224234177143,3382.3049201563676,0.9686870562665346,1.3071100905142812
31367865,92654,1.240252371414804,Paleoseismic Event Rate,PaleoRate,1.805971940707522,NORMALIZED_BY_UNCERTAINTY,false,65,-1.6290106361432595,1.6540178016449176,-1.6722971814457688,-5.549587439598178,0.7204799679484417,255.51088747791235,833.3576131206183,1.1389549078438432,1.9826590050811614
31367865,92654,1.240252371414804,Uncertain MFD Equality,UncertMFDEquality,4.7011511262010925,NORMALIZED_BY_UNCERTAINTY,false,34,1.1383728835967895,1.1383728835967895,-0.33471711093578616,0.3305657781284277,2.247932732294219,28.23404096981338,623.9955113125029,0.622688876665616,1.2887303594626716
41600588,123850,1.155372528427539,Uncertain Slip Rate,UncertSlipRate,0.9023270473065718,NORMALIZED_BY_UNCERTAINTY,false,2325,-0.8990097142638248,0.9519244836194252,-0.7054062752408233,-10.652173913043478,2.568571000551965,4108.6752563722175,3345.2591537909393,0.9806380590274016,1.3302087510744558
41600588,123850,1.155372528427539,Paleoseismic Event Rate,PaleoRate,2.355712282449035,NORMALIZED_BY_UNCERTAINTY,false,65,-1.4582148083286455,1.473291331322753,-1.3545832683292938,-5.463841867367329,0.4729272123510819,212.4899166202193,1179.18736949757,1.0772834675871188,1.8080585278997654
41600588,123850,1.155372528427539,Uncertain MFD Equality,UncertMFDEquality,5.0873034309715655,NORMALIZED_BY_UNCERTAINTY,false,34,1.0409017703404384,1.0409017703404384,-0.3541646611532798,0.29167067769344035,2.033151976200621,23.735367616138184,614.2868890248116,0.5764257970824703,1.1816082663332006
53466523,154987,1.1088785042505926,Uncertain Slip Rate,UncertSlipRate,0.8857826627366322,NORMALIZED_BY_UNCERTAINTY,false,2325,-0.9151507695780791,0.9730267928408922,-0.7506861602011153,-10.652173913043478,2.4798128551201635,4235.490831243998,3323.2123814930037,0.9934758459543429,1.350581402740345
53466523,154987,1.1088785042505926,Paleoseismic Event Rate,PaleoRate,2.876924830665229,NORMALIZED_BY_UNCERTAINTY,false,65,-1.2952047695948858,1.3075512932797204,-1.0996549761555732,-5.231350176460222,0.31918766729677744,174.53835910720412,1444.60102267415,1.0116297063743296,1.6386596732470768
53466523,154987,1.1088785042505926,Uncertain MFD Equality,UncertMFDEquality,5.222211621885017,NORMALIZED_BY_UNCERTAINTY,false,34,1.0460574266311653,1.0460574266311653,-0.35754662827068867,0.28490674345862244,2.029717115012538,23.89244191965037,651.5825918030499,0.5750232355564371,1.1855116026338306
66491706,186190,1.0790268206578626,Uncertain Slip Rate,UncertSlipRate,0.8727073973821405,NORMALIZED_BY_UNCERTAINTY,false,2325,-0.9324747034629584,0.9965123878108457,-0.787076433085369,-10.652173913043477,2.4232901195776386,4385.462810292272,3340.048298080973,1.008538038151307,1.3733974528761033
66491706,186190,1.0790268206578626,Paleoseismic Event Rate,PaleoRate,3.2857685166104655,NORMALIZED_BY_UNCERTAINTY,false,65,-1.1796665264826582,1.1912862127969586,-1.0101532117247651,-4.985373985592754,0.24032180988815915,149.30952455190078,1611.9866490700995,0.9589599848367868,1.5156086594140261
