Rupture Index,Magnitude,Average Rake (degrees),Area (m^2),Length (m)
0,7.255087804186543,0.0,1.7992496053950567E9,59974.98429077252
1,7.431308597100864,0.0,2.6996807173228507E9,89989.35706784535
2,7.556312005511673,0.0,3.6001115004834905E9,120003.708444008
3,7.653284323150608,0.0,4.500786134761151E9,150026.19920001895
4,7.799331996948358,0.0,6.299937091288361E9,120003.708444008
5,7.90850994236466,0.0,8.100545753527037E9,150026.19920001895
6,7.995645269781375,0.0,9.900330743346884E9,180021.79491728064
7,8.068072038942438,0.0,1.169705556541489E10,209959.43222925978
8,8.130097367244412,0.0,1.3492795871595886E10,239886.24023158537
9,8.184367532731699,0.0,1.528875692204029E10,269810.03320331656
10,8.232595886381791,0.0,1.7084433511863075E10,299733.99303691543
11,8.158326256357798,0.0,1.4398951555083347E10,180021.79491728064
12,8.232856684878811,0.0,1.7094695989971994E10,209959.43222925978
13,8.296414631391011,0.0,1.9788797246377018E10,239886.24023158537
14,8.35186670944426,0.0,2.248389447792647E10,269810.03320331656
15,8.401035177298752,0.0,2.5179091775242157E10,299733.99303691543
16,8.445203152505789,0.0,2.7874564123226776E10,329676.2178767681
17,8.485280184323205,0.0,3.0569276580258465E10,359596.4061130097
18,8.521994305573596,0.0,3.32659034949513E10,389540.03243033786
19,8.555872393677353,0.0,3.596478339204712E10,419517.32039764104
20,8.587291338347946,0.0,3.866307825840628E10,449491.46953900385
21,8.401166908428355,0.0,2.5186730318011337E10,239886.24023158537
22,8.459110930597284,0.0,2.878166265160068E10,269810.03320331656
23,8.510236853541416,0.0,3.2377391613773636E10,299733.99303691543
24,8.555966493133973,0.0,3.597257680673723E10,329676.2178767681
25,8.597318137672666,0.0,3.956609951407464E10,359596.4061130097
26,8.635102653798086,0.0,4.316261982547231E10,389540.03243033786
27,8.66988254835821,0.0,4.6761424231637566E10,419517.32039764104
28,8.702072389493551,0.0,5.0359059076802444E10,449491.46953900385
29,8.732022245348007,0.0,5.395447811718244E10,479450.477891492
30,8.760025956651543,0.0,5.754813298107575E10,509394.84744301473
31,8.786333266889809,0.0,6.114185037516523E10,539336.5645340667
32,8.811151906433352,0.0,6.473769691023422E10,569294.1465276597
33,8.834631383726085,0.0,6.833398505485889E10,599257.8405999498
34,8.597434275237113,0.0,3.957668157344484E10,299733.99303691543
35,8.644154723770235,0.0,4.407170750375224E10,329676.2178767681
36,8.686309676100977,0.0,4.856404760360222E10,359596.4061130097
37,8.724763348775134,0.0,5.306016442870808E10,389540.03243033786
38,8.760106092662149,0.0,5.755875275315411E10,419517.32039764104
39,8.79277683239821,0.0,6.205576739744084E10,449491.46953900385
40,8.82314422911881,0.0,6.655023310259846E10,479450.477891492
41,8.85151378774541,0.0,7.104265297386781E10,509394.84744301473
42,8.878142978654282,0.0,7.553502748293881E10,539336.5645340667
43,8.903246714510518,0.0,8.002987807931993E10,569294.1465276597
44,8.926980580889637,0.0,8.452516904259976E10,599257.8405999498
45,8.949475448867862,0.0,8.901863712017184E10,629215.4390838114
46,8.97085214874318,0.0,9.350991549457918E10,659150.6655045238
47,8.991222595505128,0.0,9.800046443976239E10,689077.8595341125
48,9.010684109703314,0.0,1.0249192961801685E11,718997.4038230284
49,9.029308948041882,0.0,1.0698294002688081E11,748908.4158657977
50,9.04715449348546,0.0,1.1147053715936172E11,778800.1347995042
51,9.064289011403076,0.0,1.1595637520704001E11,808676.7412935861
52,9.080777045618117,0.0,1.204433103245048E11,838569.259854082
53,9.096661640445237,0.0,1.2493015989710197E11,868467.73720256
54,9.111984553996594,0.0,1.2941667164280179E11,898361.5643332677
55,9.126782721661527,0.0,1.3390241520183653E11,928239.4171268666
56,9.141088985468723,0.0,1.38386807377188E11,958095.503781994
57,9.15493545469105,0.0,1.4287004276722543E11,987936.0402381291
58,9.16835222415691,0.0,1.4735265286687933E11,1017769.6109502558
59,9.181366350867368,0.0,1.5183507217656436E11,1047608.1543480197
60,9.194002092753031,0.0,1.5631759193654593E11,1077457.2219964394
61,9.206279759410595,0.0,1.6079981191526138E11,1107311.3319770026
62,9.218218329809247,0.0,1.6528145222692633E11,1137161.507279643
63,9.22983404046407,0.0,1.6976175003235504E11,1166999.5551805669
64,9.241144103073712,0.0,1.7424082502009467E11,1196826.686874543
65,9.252164999012848,0.0,1.7871904164797034E11,1226647.6726829836
66,9.262911639323413,0.0,1.831966295161506E11,1256464.6229033982
67,9.273396657081694,0.0,1.8767330777093948E11,1286274.5280897096
68,9.283632558339326,0.0,1.9214912944786432E11,1316079.2036900143
69,9.29363149447322,0.0,1.966243810001089E11,1345880.6475915902
70,9.30340411009982,0.0,2.0109903884510455E11,1375677.0418100602
71,9.312959805230076,0.0,2.0557282338299078E11,1405467.6016363832
72,9.32230772393569,0.0,2.1004561995399417E11,1435250.2930956865
73,9.331456402116022,0.0,2.1451729797881357E11,1465025.8841862043
74,9.340413921389,0.0,2.1898776301447723E11,1494795.4155202655
75,9.349188382693761,0.0,2.2345718234539938E11,1524561.6589757379
76,9.357786713114086,0.0,2.27925364629144E11,1554320.8378044947
77,9.36621574306071,0.0,2.32392280383192E11,1584068.634091221
78,9.374481583335944,0.0,2.368577213966809E11,1613801.128353878
79,9.382590682124231,0.0,2.413218548742399E11,1643521.8970171444
80,9.390549464762193,0.0,2.4578504042177594E11,1673237.0277938915
81,9.398363164304751,0.0,2.5024715826784625E11,1702945.546536808
82,9.406036207459508,0.0,2.5470777737384412E11,1732642.9019151358
83,9.413574273609168,0.0,2.5916734557258533E11,1762332.3785313761
84,9.420982469816401,0.0,2.636261486789253E11,1792018.2871383103
85,9.428265524778073,0.0,2.6808440325033295E11,1821702.1434224567
86,9.435427402267994,0.0,2.7254199684052017E11,1851382.277312618
87,9.442471950635786,0.0,2.76998865117961E11,1881056.997061122
88,9.449402810805037,0.0,2.814549282995096E11,1910725.4796166325
89,9.456223506006467,0.0,2.859101414362306E11,1940386.7410240343
90,9.462937703139954,0.0,2.9036466485621814E11,1970043.0881703377
91,9.469548647407262,0.0,2.948184893601504E11,1999695.3028463703
92,9.476059390243508,0.0,2.992715731901118E11,2029342.4976385129
93,9.482472655573211,0.0,3.037237399967861E11,2058982.6615863026
94,9.488791234395112,0.0,3.081749434014068E11,2088615.5128543198
95,9.495017793132746,0.0,3.126251337476562E11,2118240.8540291092
96,9.501155748287985,0.0,3.170748914937819E11,2147864.548411591
97,9.507205047615955,0.0,3.2152234341161646E11,2177468.8050319864
98,9.513164339842977,0.0,3.259646146079188E11,2207023.1821029205
99,9.519041378165294,0.0,3.30405678147518E11,2236572.1648197994
100,9.52484234441447,0.0,3.348485903016825E11,2266141.063121981
101,9.530569624827162,0.0,3.392936733870984E11,2295728.852432907
102,9.53622321913514,0.0,3.437394377498103E11,2325323.226186211
103,9.538461333539438,0.0,3.4551545571366614E11,2354912.359281592
104,8.73926927177869,0.0,5.486236568258187E10,359596.4061130097
105,8.780008457843419,0.0,6.025786801938236E10,389540.03243033786
106,8.817270252296272,0.0,6.5656177973961006E10,419517.32039764104
107,8.851575593145293,0.0,7.105276394022809E10,449491.46953900385
108,8.88335289595751,0.0,7.644662463070862E10,479450.477891492
109,8.91295053108897,0.0,8.183818378506972E10,509394.84744301473
110,8.940657563415208,0.0,8.72294322291529E10,539336.5645340667
111,8.966714838096529,0.0,9.262332116255714E10,569294.1465276597
112,8.991298980035705,0.0,9.80177024808428E10,599257.8405999498
113,9.014557847490092,0.0,1.0341020802258052E11,629215.4390838114
114,9.036624268234434,0.0,1.0880024090998456E11,659150.6655045238
115,9.05762109581846,0.0,1.1418964107788864E11,689077.8595341125
116,9.077653976715771,0.0,1.1958029239294104E11,718997.4038230284
117,9.09680097093481,0.0,1.2497024650395074E11,748908.4158657977
118,9.115126100399246,0.0,1.3035622532235672E11,778800.1347995042
119,9.132702691435643,0.0,1.357401693890017E11,808676.7412935861
120,9.149599214547942,0.0,1.4112531641820755E11,838569.259854082
121,9.165861652795698,0.0,1.4651003933834915E11,868467.73720256
122,9.181535525590633,0.0,1.5189422947542676E11,898361.5643332677
123,9.196661382993891,0.0,1.5727769994359332E11,928239.4171268666
124,9.211274856764584,0.0,1.6265995181884473E11,958095.503781994
125,9.225409684584776,0.0,1.6804108725172424E11,987936.0402381291
126,9.239097152787263,0.0,1.7342151114382394E11,1017769.6109502558
127,9.250179717383634,0.0,1.7790393045350897E11,1047608.1543480197
128,9.26098673302662,0.0,1.8238645021349054E11,1077457.2219964394
129,9.271530645628854,0.0,1.86868670192206E11,1107311.3319770026
130,9.281823310449695,0.0,1.9135031050387094E11,1137161.507279643
131,9.291874700973565,0.0,1.9583060830929965E11,1166999.5551805669
132,9.301696061413455,0.0,2.0030968329703928E11,1196826.686874543
133,9.311298398839687,0.0,2.0478789992491495E11,1226647.6726829836
134,9.320691706132429,0.0,2.092654877930952E11,1256464.6229033982
135,9.329884292016008,0.0,2.137421660478841E11,1286274.5280897096
