Section Index,Slip Rate (m/yr),Slip Rate Standard Deviation (m/yr)
0,1.6670000040903688E-6,0.0
1,0.0010621049404144288,0.0
2,1.5209099650382996E-4,0.0
3,1.6908999532461168E-5,0.0
4,0.008351861000061035,0.0
5,0.0069026341438293455,0.0
6,0.005742129802703858,0.0
7,0.001554590940475464,0.0
8,5.948999896645546E-5,0.0
9,0.011364913940429688,0.0
10,0.01107493019104004,0.0
11,0.01595090103149414,0.0
12,0.00569686222076416,0.0
13,4.24032986164093E-4,0.0
14,0.01202490520477295,0.0
15,0.011663907051086426,0.0
16,0.011474311828613281,0.0
17,0.00895915699005127,0.0
18,0.002840795040130615,0.0
19,0.010140002250671387,0.0
20,0.009397260665893555,0.0
21,0.009637711524963379,0.0
22,0.012856077194213868,0.0
23,0.005632061958312989,0.0
24,0.002392098903656006,0.0
25,0.010276714324951173,0.0
26,0.009441180229187012,0.0
27,0.011429267883300781,0.0
28,0.013344951629638672,0.0
29,0.010070637702941894,0.0
30,0.0017621400356292725,0.0
31,0.014935815811157226,0.0
32,0.010739019393920898,0.0
33,0.023109973907470705,0.0
34,0.02074076843261719,0.0
35,0.016067794799804688,0.0
36,0.007749498844146729,0.0
37,2.551349997520447E-4,0.0
38,0.019369758605957032,0.0
39,0.01844464111328125,0.0
40,0.01893433952331543,0.0
41,0.01845871734619141,0.0
42,0.02008595657348633,0.0
43,0.012582494735717775,0.0
44,0.002480348110198975,0.0
45,6.050900220870972E-4,0.0
46,0.026790990829467773,0.0
47,0.02119615173339844,0.0
48,0.01834423065185547,0.0
49,0.024193609237670898,0.0
50,0.013538612365722657,0.0
51,0.012570935249328613,0.0
52,0.005410106182098389,0.0
53,0.0021739110946655273,0.0
54,0.0029047369956970216,0.0
55,0.02954728889465332,0.0
56,0.029700077056884766,0.0
57,0.02566360092163086,0.0
58,0.022402448654174806,0.0
59,0.017223506927490233,0.0
60,0.01822307014465332,0.0
61,0.010197511672973633,0.0
62,0.008209477424621582,0.0
63,0.006004561901092529,0.0
64,0.03317451858520508,0.0
65,0.014734515190124512,0.0
66,0.02050094413757324,0.0
67,0.014177374839782715,0.0
68,0.019555143356323242,0.0
69,0.025413610458374022,0.0
70,0.01200182819366455,0.0
71,0.007483665943145752,0.0
72,0.00427996301651001,0.0
73,0.02181715774536133,0.0
74,0.020566944122314454,0.0
75,0.019967485427856445,0.0
76,0.01819997787475586,0.0
77,0.023913246154785156,0.0
78,0.02216861343383789,0.0
79,0.012115013122558594,0.0
80,0.005415964126586914,0.0
81,0.002594125986099243,0.0
82,0.006608572006225586,0.0
83,0.007752415180206299,0.0
84,0.009149204254150391,0.0
85,0.012709515571594238,0.0
86,0.01680810546875,0.0
87,0.013892637252807618,0.0
88,0.007454065799713135,0.0
89,8.508449792861938E-4,0.0
90,2.0792700350284578E-4,0.0
91,0.006668723106384278,0.0
92,0.008049594879150392,0.0
93,0.006892354965209961,0.0
94,0.01176078987121582,0.0
95,0.010465567588806153,0.0
96,0.008799591064453126,0.0
97,0.0065836281776428226,0.0
98,4.5309001207351684E-4,0.0
99,1.3505999930202961E-5,0.0
100,0.008556492805480957,0.0
101,0.010183273315429687,0.0
102,0.0109151029586792,0.0
103,0.010877410888671874,0.0
104,0.009304696083068848,0.0
105,0.01106406021118164,0.0
106,0.0087415189743042,0.0
107,8.496499806642533E-5,0.0
108,0.008979904174804688,0.0
109,0.01072394371032715,0.0
110,0.010627327919006347,0.0
111,0.008139650344848632,0.0
112,0.00806014347076416,0.0
113,0.008880969047546388,0.0
114,0.004931259155273438,0.0
115,9.223000146448613E-6,0.0
116,0.011397678375244141,0.0
117,0.011054187774658204,0.0
118,0.010748234748840332,0.0
119,0.008673664093017579,0.0
120,0.007449328899383545,0.0
121,0.004371835231781006,0.0
122,8.035169839859009E-4,0.0
123,2.136100083589554E-5,0.0
124,0.00949840545654297,0.0
125,0.009257392883300781,0.0
126,0.00915487003326416,0.0
127,0.009119613647460938,0.0
128,0.006587430953979493,0.0
129,0.002801215887069702,0.0
130,2.6004499197006226E-4,0.0
131,6.5330001525580885E-6,0.0
132,0.011153809547424317,0.0
133,0.01247862720489502,0.0
134,0.016412828445434572,0.0
135,0.009828651428222656,0.0
136,0.0023021619319915773,0.0
137,0.002168647050857544,0.0
138,8.381599932909012E-5,0.0
139,0.010460494995117187,0.0
140,0.018872991561889648,0.0
141,0.014910329818725586,0.0
142,0.006652552127838135,0.0
143,0.0037015380859375,0.0
144,0.0014793599843978883,0.0
145,9.547799825668336E-4,0.0
146,0.011341157913208008,0.0
147,0.023551563262939453,0.0
148,0.01640145301818848,0.0
149,0.008447868347167969,0.0
150,0.0038194839954376223,0.0
151,0.0015090960264205933,0.0
152,0.009898987770080567,0.0
153,0.01975086784362793,0.0
154,0.0159481840133667,0.0
155,0.010124422073364258,0.0
156,0.0048416337966918944,0.0
157,0.0031097919940948487,0.0
158,0.012314825057983399,0.0
159,0.016376045227050783,0.0
160,0.01036091709136963,0.0
161,0.00829097843170166,0.0
162,0.006202845096588135,0.0
163,0.005787403106689453,0.0
164,0.009379661560058594,0.0
165,0.014073871612548828,0.0
166,0.010911145210266114,0.0
167,0.011994038581848145,0.0
168,0.008888954162597657,0.0
169,0.007092383861541748,0.0
170,0.011520488739013672,0.0
171,0.018725576400756835,0.0
172,0.01309403419494629,0.0
173,0.013180398941040039,0.0
174,0.0086859769821167,0.0
175,0.0074464488029479985,0.0
176,0.011634468078613281,0.0
177,0.014781264305114747,0.0
178,0.01438291072845459,0.0
179,0.012548480033874512,0.0
180,0.009888664245605468,0.0
181,0.00889066219329834,0.0
182,0.0117869873046875,0.0
183,0.013095547676086425,0.0
184,0.01258752727508545,0.0
185,0.011716116905212402,0.0
186,0.00838509464263916,0.0
187,0.00911563491821289,0.0
188,0.010471040725708008,0.0
189,0.010965588569641114,0.0
190,0.010684323310852051,0.0
191,0.010401989936828613,0.0
192,0.010116467475891113,0.0
193,0.007587489128112793,0.0
194,0.010671754837036133,0.0
195,0.009291093826293945,0.0
196,0.0103984956741333,0.0
197,0.011684521675109864,0.0
198,0.010944202423095703,0.0
199,0.01112681007385254,0.0
200,0.007139273166656494,0.0
201,0.01069944953918457,0.0
202,0.01069944953918457,0.0
203,0.01069944953918457,0.0
204,0.01069944953918457,0.0
205,0.011745423316955567,0.0
206,0.010843050003051758,0.0
207,0.010843050003051758,0.0
208,0.010843050003051758,0.0
209,0.014663731575012207,0.0
210,0.01209298610687256,0.0
211,0.01209298610687256,0.0
212,0.010986650466918945,0.0
213,0.012122811317443848,0.0
214,0.012253140449523926,0.0
215,0.012253140449523926,0.0
216,0.012253140449523926,0.0
217,0.012253140449523926,0.0
218,0.009050015449523927,0.0
219,0.011998923301696777,0.0
220,0.013878639221191407,0.0
221,0.015701829910278322,0.0
222,0.016642911911010742,0.0
223,0.013021806716918946,0.0
224,0.011273850440979004,0.0
225,0.010116390228271484,0.0
226,0.008286430358886718,0.0
227,0.010911631584167482,0.0
228,0.010911631584167482,0.0
229,0.011170626640319824,0.0
230,0.010803794860839844,0.0
231,0.011417448997497559,0.0
232,0.011417448997497559,0.0
233,0.011417448997497559,0.0
234,0.012935791015625,0.0
235,0.012935791015625,0.0
236,0.015164657592773438,0.0
237,0.013539989471435547,0.0
238,0.011561049461364747,0.0
239,0.01334949779510498,0.0
240,0.01334949779510498,0.0
241,0.011704648971557617,0.0
242,0.013623046875000001,0.0
243,0.013623046875000001,0.0
244,0.013513278007507325,0.0
245,0.009719517707824707,0.0
246,0.011423768043518067,0.0
247,0.013552498817443848,0.0
248,0.013552498817443848,0.0
249,0.013957319259643554,0.0
250,0.013957319259643554,0.0
251,0.013957319259643554,0.0
252,0.013344382286071777,0.0
253,0.013957319259643554,0.0
254,0.014124455451965333,0.0
255,0.013504178047180177,0.0
256,0.013503697395324707,0.0
257,0.015477299690246582,0.0
258,0.014124455451965333,0.0
259,0.014125136375427247,0.0
260,0.015493989944458008,0.0
261,0.014125136375427247,0.0
262,0.013462512016296387,0.0
263,0.013462512016296387,0.0
264,0.01445872688293457,0.0
265,0.01445872688293457,0.0
266,0.01445872688293457,0.0
267,0.012422648429870606,0.0
268,0.012422648429870606,0.0
269,0.012566248893737792,0.0
270,0.012566248893737792,0.0
271,0.012566248893737792,0.0
272,0.012566248893737792,0.0
273,0.012566248893737792,0.0
274,0.012709848403930664,0.0
275,0.012709848403930664,0.0
276,0.012709848403930664,0.0
277,0.012709848403930664,0.0
278,0.012709848403930664,0.0
279,0.012853447914123536,0.0
280,0.012853447914123536,0.0
281,0.012853447914123536,0.0
282,0.012853447914123536,0.0
283,0.012853447914123536,0.0
284,0.013329939842224121,0.0
285,0.01163672161102295,0.0
286,0.011030701637268067,0.0
287,0.01239102840423584,0.0
288,0.01239102840423584,0.0
289,0.013252800941467285,0.0
290,0.013252800941467285,0.0
291,0.01275682258605957,0.0
292,0.013252800941467285,0.0
293,0.013252800941467285,0.0
294,0.013718411445617676,0.0
295,0.016702281951904298,0.0
296,0.016702281951904298,0.0
297,0.014208195686340332,0.0
298,0.016702281951904298,0.0
299,0.02022320556640625,0.0
300,0.02022320556640625,0.0
301,0.02022320556640625,0.0
302,0.02022320556640625,0.0
303,0.018948986053466798,0.0
304,0.023992479324340822,0.0
305,0.023815574645996096,0.0
306,0.02231501007080078,0.0
307,0.023815574645996096,0.0
308,0.023815574645996096,0.0
309,0.02747939109802246,0.0
310,0.02747939109802246,0.0
311,0.019424163818359375,0.0
312,0.032598239898681644,0.0
313,0.026338298797607424,0.0
314,0.02915478515625,0.0
315,0.02551552391052246,0.0
316,0.027575389862060547,0.0
317,0.031214651107788087,0.0
318,0.031497880935668944,0.0
319,0.03675660705566406,0.0
320,0.03820502853393555,0.0
321,0.035005615234375,0.0
322,0.036142169952392576,0.0
323,0.036142169952392576,0.0
324,0.035364616394042966,0.0
325,0.0341429443359375,0.0
326,0.0365128288269043,0.0
327,0.0365128288269043,0.0
328,0.04363371276855469,0.0
329,0.03572361755371094,0.0
330,0.03549059677124024,0.0
331,0.04268376541137695,0.0
332,0.05535684585571289,0.0
333,0.05535684585571289,0.0
334,0.03608261489868164,0.0
335,0.055985626220703126,0.0
336,0.03415209197998047,0.0
337,0.03415209197998047,0.0
338,0.03290808868408203,0.0
339,0.030390903472900393,0.0
340,0.03449188232421875,0.0
341,0.03449188232421875,0.0
342,0.03449188232421875,0.0
343,0.03449188232421875,0.0
344,0.03680061721801758,0.0
345,0.0348316764831543,0.0
346,0.03387984085083008,0.0
347,0.026833242416381835,0.0
348,0.021188196182250978,0.0
349,0.03674899673461914,0.0
350,0.03674899673461914,0.0
351,0.03904510879516602,0.0
352,0.037309974670410154,0.0
353,0.037309974670410154,0.0
354,0.03905179977416992,0.0
355,0.03751861572265625,0.0
356,0.03751861572265625,0.0
357,0.044802623748779295,0.0
358,0.03933432388305664,0.0
359,0.035025650024414066,0.0
360,0.044131786346435546,0.0
361,0.03014853858947754,0.0
362,0.04523131942749024,0.0
363,0.04523131942749024,0.0
364,0.032788047790527346,0.0
365,0.042781021118164064,0.0
366,0.035553478240966795,0.0
367,0.042781021118164064,0.0
368,0.04566001510620117,0.0
369,0.04318268966674805,0.0
370,0.04318268966674805,0.0
371,0.04318268966674805,0.0
372,0.038363990783691404,0.0
373,0.038363990783691404,0.0
374,0.04651741027832031,0.0
375,0.04651741027832031,0.0
376,0.038720836639404295,0.0
377,0.038720836639404295,0.0
378,0.04651741027832031,0.0
379,0.046946109771728514,0.0
380,0.039450489044189456,0.0
381,0.039450489044189456,0.0
382,0.03746764373779297,0.0
383,0.04516576766967773,0.0
384,0.039810737609863284,0.0
385,0.039810737609863284,0.0
386,0.044690574645996094,0.0
387,0.044690574645996094,0.0
388,0.047170452117919925,0.0
389,0.047803504943847656,0.0
390,0.061741062164306644,0.0
391,0.061741062164306644,0.0
392,0.047803504943847656,0.0
393,0.047803504943847656,0.0
394,0.04039061355590821,0.0
395,0.0482322006225586,0.0
396,0.0482322006225586,0.0
397,0.0482322006225586,0.0
398,0.0482322006225586,0.0
399,0.04039061355590821,0.0
400,0.043663818359375,0.0
401,0.043663818359375,0.0
402,0.04074961471557617,0.0
403,0.04074961471557617,0.0
404,0.04074961471557617,0.0
405,0.032539676666259766,0.0
406,0.04404849243164063,0.0
407,0.04404849243164063,0.0
408,0.041108612060546876,0.0
409,0.04366872024536133,0.0
410,0.041108612060546876,0.0
411,0.03367979049682617,0.0
412,0.04146760940551758,0.0
413,0.033653919219970706,0.0
414,0.041378162384033204,0.0
415,0.0416176643371582,0.0
416,0.03161426544189453,0.0
417,0.04170711135864258,0.0
418,0.041826610565185544,0.0
419,0.04866213607788086,0.0
420,0.041826610565185544,0.0
421,0.038657115936279296,0.0
422,0.038657115936279296,0.0
