Section Index,Slip Rate (m/yr),Slip Rate Standard Deviation (m/yr)
183,6.300000000000001E-5,7.000000000000001E-5
184,1.9800000000000002E-4,1.7E-4
185,1.9800000000000002E-4,1.7E-4
186,1.9800000000000002E-4,1.7E-4
187,2.7E-4,1.5E-4
188,2.7E-4,1.5E-4
189,0.00747,0.0012
190,0.00747,0.0012
191,0.00747,0.0012
192,0.00747,0.0012
193,0.00747,0.0012
194,0.00747,0.0012
195,0.00747,0.0012
196,0.00747,0.0012
197,0.00747,0.0012
198,0.00747,0.0012
199,0.00747,0.0012
200,0.00747,0.0012
201,0.0014,0.001
202,0.0014,0.001
203,0.0014,0.001
204,0.0014,0.001
205,6.300000000000001E-5,3.0E-5
206,6.300000000000001E-5,3.0E-5
207,6.300000000000001E-5,3.0E-5
208,6.300000000000001E-5,3.0E-5
209,6.300000000000001E-5,3.0E-5
210,0.0018000000000000002,0.001
211,0.0018000000000000002,0.001
212,0.0018000000000000002,0.001
213,0.0018000000000000002,0.001
214,0.0018000000000000002,0.001
215,0.0018000000000000002,0.001
216,0.0016099999999999999,6.0E-4
217,0.0016099999999999999,6.0E-4
218,0.0027,0.001
219,0.0027,0.001
220,0.0027,0.001
221,4.5E-5,4.0E-5
222,4.5E-5,4.0E-5
223,4.5E-5,4.0E-5
224,3.15E-4,1.4000000000000001E-4
225,3.15E-4,1.4000000000000001E-4
226,1.53E-4,6.0E-5
227,1.53E-4,6.0E-5
228,3.87E-4,1.6E-4
229,3.87E-4,1.6E-4
230,3.87E-4,1.6E-4
231,3.87E-4,1.6E-4
232,3.87E-4,1.6E-4
233,4.5000000000000004E-4,7.0E-4
234,4.5000000000000004E-4,7.0E-4
235,4.5000000000000004E-4,7.0E-4
236,4.5000000000000004E-4,7.0E-4
237,4.5000000000000004E-4,7.0E-4
238,4.5000000000000004E-4,7.0E-4
239,4.5000000000000004E-4,7.0E-4
240,4.5000000000000004E-4,7.0E-4
241,4.5000000000000004E-4,7.0E-4
242,6.75E-4,6.500000000000001E-4
243,6.75E-4,6.500000000000001E-4
244,6.75E-4,6.500000000000001E-4
245,6.75E-4,6.500000000000001E-4
246,6.75E-4,6.500000000000001E-4
247,6.75E-4,6.500000000000001E-4
248,6.75E-4,6.500000000000001E-4
249,6.75E-4,6.500000000000001E-4
250,6.75E-4,6.500000000000001E-4
251,6.75E-4,6.500000000000001E-4
252,2.2500000000000002E-4,1.7E-4
253,2.2500000000000002E-4,1.7E-4
254,2.2500000000000002E-4,1.7E-4
255,2.2500000000000002E-4,1.7E-4
256,2.2500000000000002E-4,1.7E-4
257,2.2500000000000002E-4,1.7E-4
258,4.5E-5,4.0E-5
259,4.5E-5,4.0E-5
260,0.00216,7.5E-4
261,0.00216,7.5E-4
262,0.00216,7.5E-4
263,0.00216,7.5E-4
264,0.00216,7.5E-4
265,0.00216,7.5E-4
266,0.00216,7.5E-4
267,0.00216,7.5E-4
268,0.00216,7.5E-4
269,6.3E-4,4.0E-4
270,6.3E-4,4.0E-4
271,6.3E-4,4.0E-4
272,6.3E-4,4.0E-4
273,6.3E-4,4.0E-4
274,6.3E-4,4.0E-4
275,6.3E-4,4.0E-4
276,6.3E-4,4.0E-4
277,6.3E-4,4.0E-4
278,6.3E-4,4.0E-4
279,6.3E-4,4.0E-4
280,6.3E-4,4.0E-4
281,6.3E-4,4.0E-4
282,6.3E-4,4.0E-4
283,6.3E-4,4.0E-4
284,6.3E-4,4.0E-4
285,6.3E-4,4.0E-4
286,6.3E-4,4.0E-4
287,6.3E-4,4.0E-4
288,6.3E-4,4.0E-4
289,6.3E-4,4.0E-4
290,6.3E-4,4.0E-4
291,6.3E-4,4.0E-4
292,6.3E-4,4.0E-4
293,6.3E-4,4.0E-4
294,6.3E-4,4.0E-4
295,6.3E-4,4.0E-4
296,6.3E-4,4.0E-4
297,6.3E-4,4.0E-4
298,6.3E-4,4.0E-4
299,6.3E-4,4.0E-4
300,6.3E-4,4.0E-4
301,6.3E-4,4.0E-4
302,6.3E-4,4.0E-4
303,6.3E-4,4.0E-4
304,6.3E-4,4.0E-4
305,6.3E-4,4.0E-4
306,7.2E-4,5.0E-4
307,7.2E-4,5.0E-4
308,7.2E-4,5.0E-4
309,7.2E-4,5.0E-4
310,7.2E-4,5.0E-4
311,7.2E-4,5.0E-4
312,7.2E-4,5.0E-4
313,7.2E-4,5.0E-4
314,7.2E-4,5.0E-4
315,7.2E-4,5.0E-4
316,7.2E-4,5.0E-4
317,6.3E-4,4.0E-4
318,6.3E-4,4.0E-4
319,6.3E-4,4.0E-4
320,6.3E-4,4.0E-4
321,6.3E-4,4.0E-4
322,6.3E-4,4.0E-4
323,6.3E-4,4.0E-4
324,6.3E-4,4.0E-4
325,6.3E-4,4.0E-4
326,6.3E-4,4.0E-4
327,6.3E-4,4.0E-4
328,6.3E-4,4.0E-4
329,6.3E-4,4.0E-4
330,6.3E-4,4.0E-4
331,6.3E-4,4.0E-4
332,6.3E-4,4.0E-4
333,6.3E-4,4.0E-4
334,6.3E-4,4.0E-4
335,6.3E-4,4.0E-4
336,6.3E-4,4.0E-4
337,6.3E-4,4.0E-4
338,6.3E-4,4.0E-4
339,6.3E-4,4.0E-4
340,6.3E-4,4.0E-4
341,6.3E-4,4.0E-4
342,6.3E-4,4.0E-4
