Section Index,Grid Node Index,Node Fraction,Scaled Node Fraction
0,9033,0.1947466100764317,0.3896382363344923
0,9034,0.4010109501378129,0.8963478622487371
0,9035,0.3594679570069174,0.7798580237338401
0,9036,0.019821008763492357,0.04476191139936181
0,9233,0.006045910058637941,0.013622556507219805
0,9234,0.01796303415854185,0.04017522736202348
0,9235,9.579796690989593E-4,0.0021884044219734515
1,8832,0.051542216672799,0.09736534144566222
1,8833,0.35844368740506716,0.6869544624021765
1,8834,0.38153548525965847,0.6699474370620585
1,8835,0.10717402749102145,0.19164203044194988
1,9032,2.0448866939498056E-6,4.431717284857381E-6
1,9033,0.05466908688865479,0.10771979260379828
1,9034,0.0365269005063029,0.08040724891024091
1,9035,0.009988309789354105,0.021340735902307877
2,8633,0.21049492268232747,0.304166347211762
2,8634,0.3535475431477534,0.4260704539016983
2,8635,0.269956221109867,0.3683586566856055
2,8636,1.010546709539748E-4,2.1965102640439705E-4
2,8832,2.41879583025915E-4,4.392159369578124E-4
2,8833,0.08290188665628995,0.1527246036751627
2,8834,0.06386454394260442,0.10779613480651229
2,8835,0.01887940227779925,0.03245092140195407
3,25498,0.1371776801661634,0.06933451691042551
3,25499,0.5688449895438326,0.23522675612063418
3,25698,0.18617346046541622,0.08256923154214761
3,25699,0.10779321337299379,0.033535932770273745
4,25499,0.5804394990550424,0.2308821704750328
4,25699,0.419596136433741,0.12557150742410425
5,17701,0.005616928465687188,0.004637898159370565
5,17900,0.3729530059807913,0.12363778733146877
5,17901,0.5770786208250102,0.22508539154962173
5,17902,0.025123575785085173,0.01810817487197467
5,18100,0.019257258276778304,0.010369472354231529
6,17900,0.002340585435359557,7.746104038045365E-4
6,17901,0.22856765840749968,0.08899975652249081
6,17902,0.15634175439396703,0.11249414635451047
6,18100,0.1328989759408282,0.07144067554254821
6,18101,0.41515907579597194,0.2046523567861518
6,18102,0.06470461891123709,0.05520035584089965
7,7653,0.04194478774792628,0.12206671660565833
7,7654,0.14629668024140968,0.3088842949654382
7,7655,0.012525703718759352,0.04021158625940218
7,7852,0.12086976823182133,0.22307532697152088
7,7853,0.28766952056332457,0.4757131578983595
7,7854,0.23771686089917762,0.32508862472807254
7,7855,0.06161120446139687,0.11671596170316555
7,8052,0.008806542080058221,0.020956193917092743
7,8053,0.08129823951882917,0.14747142915488898
7,8054,0.00124722525505656,0.0020077615606210104
8,7452,0.03435977473536201,0.1125316316770283
8,7453,0.1313468361188958,0.3752219938863438
8,7454,0.005800869986089019,0.01978002729632666
8,7651,0.12187904526091715,0.18267628022349286
8,7652,0.28162880883071445,0.3967631059201543
8,7653,0.24648019224644338,0.7248195090524083
8,7654,0.0701310730497544,0.14962371320788403
8,7851,0.014827785070208677,0.032976649427293475
8,7852,0.08973894349616501,0.16735681010683376
8,7853,0.003805693790853501,0.006359364882754997
9,7251,0.02791213659238565,0.08937035940904035
9,7252,0.11368475828990471,0.396029703730693
9,7253,5.083752785819146E-4,0.0017685351678835848
9,7450,0.12531738138192663,0.3034933260619424
9,7451,0.2780700152837205,0.5261146524982164
9,7452,0.25322439253883094,0.8289519094009956
9,7453,0.05220855345048122,0.14907671745007992
9,7650,0.034663788475749274,0.09878897644420859
9,7651,0.10807138772698682,0.16190614578523818
9,7652,0.006339600458399569,0.008927206509860406
10,11656,0.022484636992829706,0.027750703883639188
10,11657,0.44969541390680906,0.3401730011748329
10,11658,0.3015446607478422,0.30472476492469963
10,11659,7.250428532573894E-4,0.0011029433842653369
10,11857,0.07629692559342831,0.062235278037508626
10,11858,0.14925741301146145,0.16503315239375946
11,11656,0.009785065042309807,0.012016341421670976
11,11657,0.0010532536530449223,7.927473098606543E-4
11,11856,0.2576230495290632,0.2925414000880708
11,11857,0.49840291697346284,0.40451123757171203
11,11858,0.12794389478106538,0.14075870816832334
11,12057,0.08723092167772387,0.08633224206463631
11,12058,0.01796664530688183,0.018182336481474687
12,13878,0.034133814613051566,0.03765997496541581
12,13879,0.0018376280535547457,0.0016181879252497567
12,14077,0.0027659681300194285,0.002322623176983004
12,14078,0.3981917503529156,0.24613544051127545
12,14079,0.26336246109898326,0.17912053973555095
12,14277,0.019341869878701852,0.023385061303432878
12,14278,0.2293999963496774,0.23537416318676632
12,14279,0.05093825675210359,0.04937051231355098
13,14079,0.19294771102978234,0.1298047476290657
13,14080,0.38050964960625333,0.24628255351860995
13,14081,0.0038495690018496183,0.00288684370069163
13,14279,0.2327768949629788,0.22316334150678235
13,14280,0.18993826660399085,0.13078493905408994
14,14080,0.03752136209948156,0.02344612234926285
14,14081,0.24112760589500942,0.17457520261123258
14,14082,0.005121652152822777,0.005069744383830763
14,14280,0.23111190182484045,0.1536356611449727
14,14281,0.4137206557833151,0.3508513713389773
14,14282,0.0022503364435658055,0.003671395818368829
14,14480,0.0054772699412791405,0.003490729307637343
14,14481,0.06368158660422372,0.0512596811754636
15,18908,0.0013589644640736825,0.0010634748743562914
15,18909,0.6162295154485923,0.24797711609710066
15,18910,0.32368241011798166,0.16288450021731382
15,19109,0.058734481962106094,0.05345035784878652
16,18708,0.06192316691027068,0.030411181929105437
16,18709,0.3908353195745405,0.1582276177367915
16,18710,0.021203152169763675,0.01624197114668912
