Iteration,Time (ms),# Perturbations,# Worse Values Kept,# Non-Zero,Total Energy,Equality Energy,Entropy Energy,Inequality Energy,Uncertain Slip Rate,Paleoseismic Event Rate,Laplacian Smoothing (52 parents),Rupture Rate Minimization,Uncertain MFD Equality
11167660,30868,441898,52011,19660,5540.6196,5540.6196,0.0,0.0,3440.3784,233.49648,52.285194,0.18067044,1814.2788
22339819,61725,937275,68298,13250,7691.399,7691.399,0.0,0.0,4792.421,344.56567,43.92862,0.22292523,2510.261
34154547,92901,1322700,79733,9519,9535.166,9535.166,0.0,0.0,6302.6255,490.21414,44.88245,0.27562037,2697.168
46437060,124003,1583585,87686,6844,9868.566,9868.566,0.0,0.0,6620.97,584.2807,45.143963,0.30615482,2617.8657
59574074,155163,1764521,93965,4860,9900.276,9900.276,0.0,0.0,6620.0356,660.5462,43.829834,0.29618642,2575.568
72458207,186274,1892943,98912,3777,9900.443,9900.443,0.0,0.0,6574.246,729.9417,44.82903,0.28275546,2551.144
84745382,216702,1997205,103007,3336,9895.807,9895.807,0.0,0.0,6526.967,790.02026,45.67282,0.27606782,2532.8708
98830344,247023,2088838,106489,3020,9892.432,9892.432,0.0,0.0,6487.2246,844.00696,45.779102,0.27012566,2515.1514
111687982,278166,2175154,109523,2603,9892.332,9892.332,0.0,0.0,6457.5493,883.66046,45.668545,0.27360573,2505.1807
125403854,309279,2251726,112159,2447,9891.704,9891.704,0.0,0.0,6440.679,915.3844,45.423584,0.27622682,2489.9404
139794156,340439,2322130,114502,2237,9888.33,9888.33,0.0,0.0,6419.0933,937.89453,45.599133,0.27912372,2485.4644
153246203,371606,2383163,116561,2033,9889.28,9889.28,0.0,0.0,6411.085,953.8557,45.680813,0.28311893,2478.3757
167187256,402662,2443642,118604,1944,9887.465,9887.465,0.0,0.0,6403.985,963.4217,45.572327,0.28496084,2474.2012
181991979,433805,2500732,120452,1881,9883.941,9883.941,0.0,0.0,6401.5596,969.195,45.6357,0.28849337,2467.263
197686779,464943,2554969,122103,1729,9877.044,9877.044,0.0,0.0,6392.5,969.6482,45.531673,0.2871443,2469.0767
211617429,496076,2603631,123613,1646,9872.135,9872.135,0.0,0.0,6393.561,968.3165,45.3798,0.29386532,2464.5833
225086460,527190,2649904,124991,1555,9865.24,9865.24,0.0,0.0,6392.0415,966.0601,45.546154,0.2961438,2461.2961
240261013,558341,2697907,126418,1492,9858.308,9858.308,0.0,0.0,6389.5093,962.5844,45.580864,0.30021,2460.3325
254816443,589491,2740299,127680,1467,9852.734,9852.734,0.0,0.0,6390.956,959.1918,45.562073,0.30846974,2456.7156
267214767,620635,2780222,128816,1455,9845.052,9845.052,0.0,0.0,6389.2485,955.2995,46.015568,0.3129285,2454.1748
279725902,651781,2822076,129989,1354,9838.036,9838.036,0.0,0.0,6382.094,951.6896,46.03928,0.3206973,2457.8923
293313783,682903,2863821,131163,1360,9833.251,9833.251,0.0,0.0,6381.233,947.70825,46.06179,0.32842112,2457.9192
306173505,713874,2900583,132172,1340,9828.699,9828.699,0.0,0.0,6380.2383,945.20667,46.06505,0.33168277,2456.8577
319941063,744863,2938004,133193,1304,9824.381,9824.381,0.0,0.0,6377.545,943.16406,46.29962,0.3280764,2457.0444
334073987,776006,2973189,134134,1250,9819.495,9819.495,0.0,0.0,6374.776,940.8761,46.172756,0.33114815,2457.339
347145669,807118,3006908,135036,1224,9816.803,9816.803,0.0,0.0,6372.33,939.3457,46.522823,0.32972616,2458.2742
359307132,838197,3040225,135989,1215,9814.589,9814.589,0.0,0.0,6373.909,938.4047,46.603745,0.32744983,2455.3438
374923847,869292,3072421,136847,1216,9810.788,9810.788,0.0,0.0,6373.7803,936.599,46.450367,0.32747737,2453.631
389090182,900439,3106522,137751,1168,9806.39,9806.39,0.0,0.0,6368.54,935.67346,46.36129,0.32753807,2455.4878
402170509,931519,3137828,138525,1183,9805.301,9805.301,0.0,0.0,6368.6665,935.51196,46.57309,0.32579914,2454.224
415315706,962611,3168322,139294,1125,9801.7705,9801.7705,0.0,0.0,6366.976,934.8906,46.591682,0.32604694,2452.9863
429193775,993755,3198880,140095,1086,9799.312,9799.312,0.0,0.0,6363.5684,934.39764,46.744938,0.32472488,2454.276
445560396,1024892,3229932,140884,1088,9797.755,9797.755,0.0,0.0,6364.3623,934.09344,46.67178,0.32044068,2452.3071
458807520,1056025,3257131,141565,1052,9795.017,9795.017,0.0,0.0,6361.5547,933.62885,46.707897,0.31968507,2452.8054
472968315,1087139,3287170,142356,1070,9793.117,9793.117,0.0,0.0,6358.927,933.16144,46.672745,0.3191966,2454.0374
487680136,1118294,3316468,143047,1040,9792.41,9792.41,0.0,0.0,6359.579,932.6698,46.708393,0.31902084,2453.1338
503398410,1149310,3345394,143753,1013,9790.319,9790.319,0.0,0.0,6358.886,932.21643,46.389553,0.32011497,2452.507
516179692,1180389,3372972,144442,1020,9789.064,9789.064,0.0,0.0,6358.3945,932.2705,46.46357,0.31947267,2451.6165
530078399,1211513,3399961,145070,991,9786.961,9786.961,0.0,0.0,6358.0,931.66705,46.419327,0.32030058,2450.5542
542493140,1242607,3426047,145684,963,9785.413,9785.413,0.0,0.0,6355.358,931.55347,46.344418,0.3210412,2451.8367
558499087,1273674,3453011,146337,975,9784.3,9784.3,0.0,0.0,6354.4395,931.4191,46.146324,0.3204806,2451.9744
570812766,1304791,3477801,146917,981,9783.756,9783.756,0.0,0.0,6354.1934,931.3524,46.238995,0.31940335,2451.6516
583761072,1335942,3503759,147511,945,9782.931,9782.931,0.0,0.0,6354.149,931.17847,46.046524,0.3197857,2451.2366
598156040,1367097,3528306,148078,944,9781.712,9781.712,0.0,0.0,6354.1216,931.20404,45.838295,0.31976095,2450.2283
613620610,1398202,3555293,148680,909,9780.263,9780.263,0.0,0.0,6353.4624,930.9332,45.671593,0.3203316,2449.8752
626159820,1429349,3579734,149262,933,9778.9375,9778.9375,0.0,0.0,6351.6665,930.88885,45.624825,0.32085276,2450.436
639021503,1460455,3603828,149796,933,9777.841,9777.841,0.0,0.0,6352.0547,930.8679,45.30608,0.3214646,2449.2903
652211728,1491531,3627226,150314,916,9776.411,9776.411,0.0,0.0,6351.223,930.8268,45.364414,0.31947902,2448.677
665126738,1522637,3651330,150892,911,9775.529,9775.529,0.0,0.0,6349.7183,930.86084,45.32092,0.31912118,2449.31
678665014,1553761,3674466,151384,896,9775.065,9775.065,0.0,0.0,6349.9814,930.70435,45.258106,0.320382,2448.8005
691313760,1584866,3698184,151901,889,9774.086,9774.086,0.0,0.0,6349.2085,930.7515,45.20249,0.3204663,2448.6028
704978244,1615974,3719937,152367,873,9773.191,9773.191,0.0,0.0,6348.1836,930.9742,45.16273,0.31967962,2448.551
719623924,1647098,3743417,152844,852,9772.882,9772.882,0.0,0.0,6348.5854,930.67487,45.008293,0.31971496,2448.2937
733148434,1678202,3766020,153319,835,9772.036,9772.036,0.0,0.0,6347.8965,930.58887,45.025322,0.32169083,2448.2036
745923183,1709215,3786488,153816,862,9771.264,9771.264,0.0,0.0,6348.5166,930.2261,45.008682,0.32149604,2447.1912
759050238,1740347,3810542,154338,856,9769.796,9769.796,0.0,0.0,6347.448,929.9157,44.952114,0.32284895,2447.1567
773086510,1771433,3832735,154841,829,9768.965,9768.965,0.0,0.0,6347.3433,929.7773,44.96451,0.32345587,2446.5566
788244355,1802533,3855655,155346,836,9767.941,9767.941,0.0,0.0,6346.934,929.529,44.939392,0.3233719,2446.215
